# Summary
Lipid,R2
PC(38:5) ,0.6211

# Feature Importances
Feature,Importance
ENSMUST00000060125,5.9951632428071155
ENSMUST00000096012,3.5504861926190636
ENSMUST00000042744,3.0728547887717728
ENSMUST00000113438,2.5630518043987918
ENSMUST00000027988,1.9297573670092723
ENSMUST00000067444,1.8296608306794584
ENSMUST00000229028,1.810423299279409
ENSMUST00000042850,1.5762691828856235
ENSMUST00000022921,1.4114871498099357
ENSMUST00000029876,1.368531292346421
ENSMUST00000174353,1.3055125527395057
ENSMUST00000146497,1.2184530405558143
ENSMUST00000020040,1.190784251785456
ENSMUST00000035083,1.126416272032763
ENSMUST00000034592,1.1219599269263043
ENSMUST00000118661,1.0912383542383735
ENSMUST00000114468,1.0357602278164753
ENSMUST00000173985,1.0197608964940328
ENSMUST00000061632,0.9659084025999446
ENSMUST00000234410,0.9553541810927184
ENSMUST00000022100,0.9059669820047042
ENSMUST00000025497,0.903481866693194
ENSMUST00000045374,0.8921434336749519
ENSMUST00000058787,0.789401349189722
ENSMUST00000103426,0.7812792964186495
ENSMUST00000062528,0.7603624653123873
ENSMUST00000036992,0.7360893595890218
ENSMUST00000090473,0.7040595479394883
ENSMUST00000091227,0.6655101500717517
ENSMUST00000107968,0.6200369109517339
ENSMUST00000064405,0.6192128931077224
ENSMUST00000058714,0.6022284574250066
ENSMUST00000032902,0.5976889897720541
ENSMUST00000203732,0.5913998558891588
ENSMUST00000053068,0.5667797590820153
ENSMUST00000029297,0.565780738556144
ENSMUST00000023807,0.5608014246709221
ENSMUST00000238946,0.5543789023922135
ENSMUST00000065224,0.5510258122192989
ENSMUST00000027795,0.5134757014204074
ENSMUST00000059562,0.5016689147304952
ENSMUST00000031017,0.4972534405531262
ENSMUST00000176383,0.48729432019935487
ENSMUST00000139064,0.48591182631638197
ENSMUST00000005815,0.4853732389315852
ENSMUST00000033198,0.4799055710817694
ENSMUST00000129100,0.47163414316857344
ENSMUST00000050027,0.4650710213211372
ENSMUST00000024858,0.45024955224485624
ENSMUST00000122333,0.44790929753089337
ENSMUST00000038815,0.42928571334032123
ENSMUST00000054095,0.41227378014799615
ENSMUST00000224088,0.4038064592769228
ENSMUST00000073957,0.3989023889140242
ENSMUST00000057021,0.3983692401817195
ENSMUST00000112335,0.394757202648909
ENSMUST00000119310,0.35917168306514585
ENSMUST00000046870,0.34664722199284764
ENSMUST00000109546,0.3445623338193392
ENSMUST00000179308,0.3392697320186606
ENSMUST00000075764,0.322415420301303
ENSMUST00000041646,0.3222494658871501
ENSMUST00000221470,0.31595055828264923
ENSMUST00000071281,0.3142129751446741
ENSMUST00000024755,0.2972944314906706
ENSMUST00000191829,0.29668334036501287
ENSMUST00000039987,0.2922657280408879
ENSMUST00000119026,0.29078573581713124
ENSMUST00000226810,0.29077167968991907
ENSMUST00000054819,0.2871608384153966
ENSMUST00000113453,0.28497702785999673
ENSMUST00000114553,0.2795584557018108
ENSMUST00000053922,0.2788538889366902
ENSMUST00000036300,0.27404049172290884
ENSMUST00000060943,0.2688353639836576
ENSMUST00000024880,0.26635405914802424
ENSMUST00000146253,0.26432491406748787
ENSMUST00000109159,0.26143891714653045
ENSMUST00000139906,0.26071425461826525
ENSMUST00000099151,0.25978709880249756
ENSMUST00000030676,0.25976114343639556
ENSMUST00000031278,0.2575871971103164
ENSMUST00000067741,0.25319617037781184
ENSMUST00000041606,0.24995495775463208
ENSMUST00000119598,0.2491651364686165
ENSMUST00000058692,0.24686743026927377
ENSMUST00000210209,0.24517766930814733
ENSMUST00000084501,0.24444479809983402
ENSMUST00000105287,0.2443038848721053
ENSMUST00000079788,0.24323420834671403
ENSMUST00000024660,0.24155561801155812
ENSMUST00000027849,0.23882084226349723
ENSMUST00000044297,0.2376408712574249
ENSMUST00000074372,0.23054767588700378
ENSMUST00000090813,0.22677782501515667
ENSMUST00000020439,0.22611017104942574
ENSMUST00000043577,0.22196060109130059
ENSMUST00000174661,0.22172275078321127
ENSMUST00000120678,0.2208512520390066
ENSMUST00000066060,0.21866899662892675
ENSMUST00000069334,0.21659084911337792
ENSMUST00000022195,0.21572260837287274
ENSMUST00000053306,0.21499324995800065
ENSMUST00000056336,0.21102971644477947
ENSMUST00000046687,0.210272404999083
ENSMUST00000021284,0.20855809657876018
ENSMUST00000186458,0.20846096261213684
ENSMUST00000237521,0.20673938165984518
ENSMUST00000028280,0.20656615983276577
ENSMUST00000029822,0.20647291148383815
ENSMUST00000042792,0.2063779584599264
ENSMUST00000107377,0.2054684934078955
ENSMUST00000079721,0.2017774954673531
ENSMUST00000184666,0.20130827740554313
ENSMUST00000063140,0.20016100643354334
ENSMUST00000054351,0.19506469323994866
