# Summary
Lipid,R2
HexCer 40:0,0.6281

# Feature Importances
Feature,Importance
ENSMUST00000109621,6.48668837111779
ENSMUST00000019994,3.4892207315508497
ENSMUST00000230532,3.368085060344034
ENSMUST00000091227,3.176879805757712
ENSMUST00000020040,2.657132863052159
ENSMUST00000029876,2.2171500051789104
ENSMUST00000058692,1.9926435626642653
ENSMUST00000027083,1.7644277087351414
ENSMUST00000206034,1.519787826632952
ENSMUST00000159359,1.5038794225938328
ENSMUST00000042744,1.4648188427972706
ENSMUST00000028188,1.4554377739583841
ENSMUST00000029297,1.4220323075287167
ENSMUST00000020439,1.3344647689578184
ENSMUST00000061545,1.1164386873243957
ENSMUST00000005815,1.1132249009599555
ENSMUST00000024880,1.0857394382810617
ENSMUST00000021284,1.0587324379604688
ENSMUST00000090813,0.948651065066776
ENSMUST00000224088,0.8486299484618629
ENSMUST00000102665,0.8430089117467703
ENSMUST00000100089,0.8198719181636587
ENSMUST00000122333,0.8072437458332987
ENSMUST00000173533,0.8004476723634346
ENSMUST00000029441,0.7997176274632982
ENSMUST00000028883,0.7981121584700046
ENSMUST00000105287,0.7964440759952517
ENSMUST00000058535,0.7704485417065354
ENSMUST00000039987,0.6951610360251006
ENSMUST00000119026,0.677113969783795
ENSMUST00000034533,0.6496020628391954
ENSMUST00000074171,0.644533782461714
ENSMUST00000039135,0.6363450589334251
ENSMUST00000000275,0.6046865832438617
ENSMUST00000054095,0.5921275232042456
ENSMUST00000161255,0.5785894486967904
ENSMUST00000078856,0.5750810638331513
ENSMUST00000107968,0.5669243524386807
ENSMUST00000000033,0.5421239028853836
ENSMUST00000079323,0.5213223240952186
ENSMUST00000071782,0.5143670909733766
ENSMUST00000054819,0.5122605828384121
ENSMUST00000109159,0.5118094411876634
ENSMUST00000018842,0.47397337668350553
ENSMUST00000063140,0.47116284953169474
ENSMUST00000114904,0.45080212450594226
ENSMUST00000084615,0.4338424242720709
ENSMUST00000105283,0.42989381536319426
ENSMUST00000186458,0.42099729670622615
ENSMUST00000057645,0.396656993148835
ENSMUST00000069334,0.3888893913585602
ENSMUST00000029822,0.38766012098797775
ENSMUST00000053306,0.3714925131725218
ENSMUST00000151015,0.36880824431508846
ENSMUST00000174353,0.363731585554604
ENSMUST00000039118,0.3499198401921556
ENSMUST00000022921,0.33649708540665524
ENSMUST00000035083,0.3358347301729179
ENSMUST00000058714,0.33524154288661434
ENSMUST00000199581,0.3341376489078159
ENSMUST00000140626,0.3170486922008923
ENSMUST00000025404,0.31476686834403106
ENSMUST00000171691,0.31360969136448014
ENSMUST00000228435,0.31041139573448095
ENSMUST00000179308,0.3057186925284944
ENSMUST00000094103,0.29194539336470027
ENSMUST00000142118,0.29084052362422436
ENSMUST00000075764,0.2895559388460154
ENSMUST00000066384,0.28804849449855546
ENSMUST00000045374,0.2843421893391189
ENSMUST00000095266,0.2835989886520727
ENSMUST00000238946,0.27940222197367864
ENSMUST00000139906,0.2785348371687106
ENSMUST00000042158,0.2763972058721197
ENSMUST00000091554,0.27340054497669136
ENSMUST00000217974,0.2732542996137602
ENSMUST00000124790,0.25701181053066874
ENSMUST00000063918,0.25148493356690793
ENSMUST00000096012,0.2484990889017398
ENSMUST00000102945,0.23471646425894283
ENSMUST00000161263,0.2342132627704104
ENSMUST00000016638,0.2308149332105316
ENSMUST00000000219,0.22697905681658617
ENSMUST00000067444,0.22652147224217437
ENSMUST00000026466,0.2257499894337757
ENSMUST00000023670,0.22122228216255274
ENSMUST00000034592,0.22017194965544226
ENSMUST00000031278,0.21824441730846011
ENSMUST00000099575,0.21724874391994983
ENSMUST00000210209,0.21448235205533955
ENSMUST00000095360,0.21332710221714635
ENSMUST00000090473,0.21257217482171922
ENSMUST00000113054,0.21238489922479878
ENSMUST00000052827,0.21049598674146214
ENSMUST00000124059,0.20541751213607787
ENSMUST00000067020,0.2030593768091935
ENSMUST00000229028,0.2006308735282473
ENSMUST00000036300,0.2001499974774745
ENSMUST00000027849,0.1964076195939608
ENSMUST00000114553,0.19495735413482926
ENSMUST00000029848,0.1944098150799279
ENSMUST00000173985,0.1915371176990879
ENSMUST00000093944,0.19026662428756796
ENSMUST00000067741,0.19016964955655602
ENSMUST00000052708,0.19005264600662655
ENSMUST00000052907,0.18762822949275018
ENSMUST00000081574,0.18246083661186363
ENSMUST00000005255,0.1818688258024034
ENSMUST00000071798,0.18069174498474158
ENSMUST00000205228,0.17792456111649596
ENSMUST00000054351,0.17790703972468155
ENSMUST00000205251,0.17744030206472944
ENSMUST00000042792,0.1763669582982439
ENSMUST00000035020,0.1762334745408864
ENSMUST00000112706,0.1745614460383752
ENSMUST00000043259,0.1740385414269931
ENSMUST00000022100,0.1710121518169852
ENSMUST00000030489,0.17025149514714602
ENSMUST00000191829,0.1699147015679529
ENSMUST00000036992,0.16778342903791382
ENSMUST00000119068,0.16671406735306893
ENSMUST00000221025,0.16570127691433123
ENSMUST00000087176,0.16455780928473332
