# Summary
Lipid,R2
LPC 16:0,0.4002

# Feature Importances
Feature,Importance
ENSMUST00000029876,5.183320107282779
ENSMUST00000091892,3.7116582271101684
ENSMUST00000091227,3.3047528185898676
ENSMUST00000042744,2.8153764676519453
ENSMUST00000173932,1.638962037960982
ENSMUST00000027601,1.2259375320490693
ENSMUST00000205228,1.2195578070651358
ENSMUST00000146497,1.161688744801287
ENSMUST00000042850,1.0617810824076088
ENSMUST00000054883,0.992997657597074
ENSMUST00000067741,0.981924186934292
ENSMUST00000112712,0.927601195930806
ENSMUST00000109764,0.8924271009868947
ENSMUST00000060225,0.8837797591685639
ENSMUST00000000275,0.8195550791822577
ENSMUST00000044380,0.8132404808457879
ENSMUST00000021284,0.8100635754414706
ENSMUST00000142118,0.8041835282857511
ENSMUST00000066384,0.7983271206425588
ENSMUST00000077191,0.7741458561985644
ENSMUST00000054095,0.7334419727499499
ENSMUST00000140626,0.6669532200251789
ENSMUST00000005815,0.6459048609607365
ENSMUST00000063918,0.6418730636273613
ENSMUST00000096494,0.6367785531696712
ENSMUST00000035083,0.6123614921708185
ENSMUST00000063433,0.5791100180435316
ENSMUST00000034802,0.5691483633163781
ENSMUST00000124790,0.565422626166129
ENSMUST00000221025,0.5562906960550731
ENSMUST00000022100,0.547726814409562
ENSMUST00000027849,0.5453571867226252
ENSMUST00000100089,0.5402705349502598
ENSMUST00000099575,0.5326795419956819
ENSMUST00000061601,0.5140897984421873
ENSMUST00000174353,0.5096843148915261
ENSMUST00000029822,0.50719248020761
ENSMUST00000113438,0.5039452434693507
ENSMUST00000160791,0.5023737033060767
ENSMUST00000109424,0.5013462990423593
ENSMUST00000107968,0.4685700352478151
ENSMUST00000053491,0.4629891827856486
ENSMUST00000028188,0.46277642876388986
ENSMUST00000031017,0.4579491668061617
ENSMUST00000122333,0.4535562978316635
ENSMUST00000066166,0.45060179610910395
ENSMUST00000094103,0.44407903133110044
ENSMUST00000173985,0.44339478060418913
ENSMUST00000102820,0.422939871918042
ENSMUST00000069334,0.42264112187815817
ENSMUST00000118578,0.41476725711639
ENSMUST00000112335,0.41412381521606856
ENSMUST00000119068,0.3998970946638624
ENSMUST00000089332,0.3789669844721461
ENSMUST00000090461,0.36797633230923477
ENSMUST00000054351,0.36737107769938404
ENSMUST00000036300,0.3666596387368483
ENSMUST00000053306,0.36430929646426446
ENSMUST00000095037,0.3629078452137844
ENSMUST00000096012,0.35821631775912016
ENSMUST00000093852,0.3565175039273557
ENSMUST00000050519,0.3501756860779475
ENSMUST00000199581,0.34327627930476073
ENSMUST00000124470,0.34313582287877326
ENSMUST00000160810,0.3407101625879484
ENSMUST00000039987,0.32040322359801043
ENSMUST00000053068,0.31937837329374075
ENSMUST00000092155,0.31746846322238154
ENSMUST00000012664,0.31647555835654173
ENSMUST00000033198,0.3058931557596506
ENSMUST00000030687,0.30298595274601325
ENSMUST00000228307,0.30178434476001686
ENSMUST00000049395,0.30093510558814285
ENSMUST00000029441,0.2991041609615133
ENSMUST00000021770,0.29867310684603954
ENSMUST00000100070,0.2979693104154222
ENSMUST00000210209,0.29651970093727303
ENSMUST00000109159,0.29290518325849496
ENSMUST00000189828,0.28952366818866115
ENSMUST00000039516,0.2878235228248534
ENSMUST00000225962,0.2875629144335736
ENSMUST00000078856,0.2862550815839402
ENSMUST00000137402,0.2776197912435054
ENSMUST00000071798,0.27756396947772943
ENSMUST00000059787,0.2768763251494162
ENSMUST00000021195,0.2765239248279994
ENSMUST00000081654,0.2728173456210085
ENSMUST00000052708,0.26687690688270355
ENSMUST00000002765,0.2660678535289255
ENSMUST00000229028,0.2586012477758466
ENSMUST00000012587,0.25805282141500896
ENSMUST00000145302,0.25750321707802254
ENSMUST00000106663,0.25596939525247225
ENSMUST00000001867,0.2532262169651677
ENSMUST00000100827,0.2523968524529526
ENSMUST00000111087,0.2504674012041637
ENSMUST00000063597,0.25028057718413826
ENSMUST00000026234,0.24949287365260042
ENSMUST00000169486,0.2470992598418435
ENSMUST00000119026,0.24670776079503542
ENSMUST00000118661,0.24653801623026755
ENSMUST00000110510,0.24644055845692664
ENSMUST00000062528,0.24521923445648236
ENSMUST00000066412,0.2408049100660962
ENSMUST00000035014,0.23752490641833784
ENSMUST00000029848,0.23630516218980469
ENSMUST00000043577,0.2341554633846713
ENSMUST00000042792,0.23353739351582997
ENSMUST00000237521,0.23275809336211925
ENSMUST00000023670,0.2327456150935837
ENSMUST00000033730,0.2324449771489434
ENSMUST00000053467,0.23224165356477253
ENSMUST00000068952,0.22981387106211243
ENSMUST00000136205,0.22875650670755893
ENSMUST00000058692,0.22809583539686512
ENSMUST00000121021,0.22595429061641195
ENSMUST00000024755,0.22459196927541875
ENSMUST00000108076,0.22264390865598072
ENSMUST00000014174,0.22228948722525266
ENSMUST00000043259,0.22203304064307658
ENSMUST00000116304,0.21699276731525569
ENSMUST00000028123,0.21681313273773584
ENSMUST00000030489,0.21665752812481326
ENSMUST00000113054,0.21604251785496584
ENSMUST00000067458,0.2156173873316805
ENSMUST00000027795,0.21406947067386642
ENSMUST00000081265,0.21109267770784604
ENSMUST00000139505,0.20762159049059078
ENSMUST00000074783,0.20735980664006964
ENSMUST00000162098,0.2067743685771642
ENSMUST00000065224,0.20652028019891863
ENSMUST00000100676,0.20301153361465799
ENSMUST00000124059,0.2027449221029745
ENSMUST00000003502,0.20101500439025483
ENSMUST00000070375,0.19924812067710926
ENSMUST00000054819,0.19860175806247404
ENSMUST00000019994,0.19823578869059935
ENSMUST00000051773,0.1959901295236088
ENSMUST00000160436,0.19354633637256208
ENSMUST00000025497,0.19191148557604573
ENSMUST00000060125,0.19121948266334338
ENSMUST00000228435,0.19051911237354588
ENSMUST00000032902,0.1904466396092323
ENSMUST00000034533,0.18942188999104684
ENSMUST00000109964,0.1884232889324044
ENSMUST00000230532,0.18790766626949967
ENSMUST00000114904,0.18675413201085614
ENSMUST00000233296,0.18228714508917435
ENSMUST00000075644,0.17925612982534386
ENSMUST00000161263,0.1765861719644887
ENSMUST00000130300,0.17579495768518655
ENSMUST00000208932,0.17555788843913187
ENSMUST00000228095,0.17526029966476825
ENSMUST00000119598,0.17479142562013014
ENSMUST00000068581,0.174436032059797
ENSMUST00000164639,0.17426387868718418
ENSMUST00000057849,0.1738988321710188
ENSMUST00000095550,0.1728651466133439
ENSMUST00000176383,0.16980019562292573
ENSMUST00000039631,0.16911854784510957
ENSMUST00000020040,0.16893370730708154
ENSMUST00000088790,0.16752668942911825
ENSMUST00000171691,0.16597576810783235
ENSMUST00000050958,0.16479977083054595
ENSMUST00000058007,0.16471745022876808
ENSMUST00000070125,0.16383637498489828
ENSMUST00000102976,0.16352298942295432
ENSMUST00000183482,0.16302459299435515
ENSMUST00000203775,0.1626451223762638
ENSMUST00000116613,0.16211692514728895
ENSMUST00000001854,0.1617394843560904
ENSMUST00000196324,0.16104058614700995
ENSMUST00000067444,0.16019422355265273
ENSMUST00000049272,0.15948629199004244
ENSMUST00000004076,0.1570770477961145
ENSMUST00000055776,0.15639556659962234
ENSMUST00000152412,0.15583975066390646
ENSMUST00000206034,0.15316216344791486
ENSMUST00000113498,0.15199696275229205
ENSMUST00000051756,0.1513397434081947
ENSMUST00000038364,0.15108212328130313
ENSMUST00000063140,0.14764495065561445
ENSMUST00000016231,0.14677825580622295
ENSMUST00000218060,0.1467264474990826
ENSMUST00000093944,0.14546637540231624
ENSMUST00000084501,0.14501162493501282
ENSMUST00000045706,0.1446938792738723
ENSMUST00000015712,0.14461052143503764
ENSMUST00000086795,0.14307747376382887
ENSMUST00000045374,0.14300589063679497
ENSMUST00000194514,0.14117278988842108
ENSMUST00000058787,0.14116034917731457
ENSMUST00000120678,0.1383594368752958
