# Summary
Lipid,R2
PA(40:5) ,0.7323

# Feature Importances
Feature,Importance
ENSMUST00000230532,5.063774387082702
ENSMUST00000066060,4.890381252983297
ENSMUST00000030687,4.288600125811224
ENSMUST00000029441,2.2090069900026483
ENSMUST00000210209,1.8208154875309528
ENSMUST00000168630,1.750801540435888
ENSMUST00000053306,1.6252933324648076
ENSMUST00000221470,1.290510498140442
ENSMUST00000019994,1.1698415117742125
ENSMUST00000196324,1.13306865771739
ENSMUST00000071798,1.1329345047914345
ENSMUST00000107968,1.0608318228620195
ENSMUST00000095037,1.0594844041621478
ENSMUST00000067741,1.0362630537385034
ENSMUST00000032710,1.030606889266689
ENSMUST00000087600,0.9765757387068538
ENSMUST00000029876,0.8847084932040516
ENSMUST00000031278,0.8740889862175174
ENSMUST00000050027,0.802392680234587
ENSMUST00000121990,0.765170692972485
ENSMUST00000162098,0.736159719604365
ENSMUST00000139906,0.7197676337724402
ENSMUST00000035083,0.6985387096849816
ENSMUST00000042792,0.6984670444965893
ENSMUST00000095550,0.6853283995840869
ENSMUST00000039135,0.6817350803025503
ENSMUST00000105283,0.6265227724959135
ENSMUST00000041646,0.6244867006824777
ENSMUST00000100070,0.6165191186192575
ENSMUST00000146497,0.6002249950008163
ENSMUST00000109621,0.5996604875066456
ENSMUST00000044278,0.5982698218566848
ENSMUST00000233296,0.5676654896466384
ENSMUST00000091892,0.5552627585510718
ENSMUST00000005493,0.5489630860991879
ENSMUST00000173932,0.5396816957787502
ENSMUST00000206034,0.5281215898190513
ENSMUST00000140626,0.5165971576839177
ENSMUST00000000275,0.5077110562408266
ENSMUST00000045374,0.5042235764081106
ENSMUST00000088454,0.4875611600544346
ENSMUST00000062483,0.4608774498339148
ENSMUST00000124059,0.45580948741812566
ENSMUST00000114468,0.4460579650949556
ENSMUST00000186458,0.4390332020444497
ENSMUST00000020040,0.4368529421810361
ENSMUST00000118578,0.42660990102654667
ENSMUST00000113054,0.42442930249050836
ENSMUST00000064770,0.4206312257446946
ENSMUST00000081265,0.41911430460896354
ENSMUST00000087950,0.4076204182130691
ENSMUST00000101197,0.40729865422454736
ENSMUST00000074171,0.40636337145374657
ENSMUST00000109159,0.40418061820614937
ENSMUST00000124825,0.4030581904099506
ENSMUST00000042744,0.40125570419682444
ENSMUST00000217381,0.39345612788139916
ENSMUST00000066166,0.392093380871302
ENSMUST00000159359,0.3909908940858354
ENSMUST00000023670,0.39038489946206106
ENSMUST00000109764,0.3872964626395704
ENSMUST00000028188,0.3862023854439548
ENSMUST00000205228,0.3812676657221618
ENSMUST00000018614,0.3789398800978885
ENSMUST00000054095,0.378235978341333
ENSMUST00000124470,0.3679528528459772
ENSMUST00000094103,0.3629724843326496
ENSMUST00000078527,0.36012021394432375
ENSMUST00000063433,0.3556614774294238
ENSMUST00000106437,0.35519309848136427
ENSMUST00000162772,0.3484147222478977
ENSMUST00000043259,0.34733625483383446
ENSMUST00000124790,0.34583697376517797
ENSMUST00000029297,0.34428920124806073
ENSMUST00000057021,0.34374696927912685
ENSMUST00000167460,0.334265522674106
ENSMUST00000199581,0.3333619868120351
ENSMUST00000036019,0.33241033681161364
ENSMUST00000034802,0.3307115305722472
ENSMUST00000079788,0.32914087524045077
ENSMUST00000221025,0.32913814128661084
ENSMUST00000005860,0.325693367618093
ENSMUST00000045706,0.31886602896056093
ENSMUST00000064405,0.3102285670281188
ENSMUST00000058007,0.30298315235351536
ENSMUST00000160810,0.2950793525234341
ENSMUST00000237521,0.29398097381784843
ENSMUST00000092155,0.29276033160031256
ENSMUST00000060125,0.2913238376622081
ENSMUST00000082430,0.277518751144036
ENSMUST00000035471,0.2774945362009505
ENSMUST00000161263,0.2774854987004859
ENSMUST00000119068,0.2721338610367946
ENSMUST00000000910,0.27181192755602773
ENSMUST00000078856,0.27030323039317283
ENSMUST00000174353,0.2655484854120873
ENSMUST00000036300,0.2653081380911028
ENSMUST00000162022,0.2635799501638454
ENSMUST00000029822,0.263003139657481
ENSMUST00000021770,0.2540589483719794
ENSMUST00000014777,0.2528594945887067
ENSMUST00000096494,0.25041929460571466
ENSMUST00000219723,0.24829946239219516
ENSMUST00000112516,0.24549028013499524
ENSMUST00000059787,0.24535555347084537
ENSMUST00000109546,0.24532241037890315
ENSMUST00000067458,0.24409308105763747
ENSMUST00000087176,0.2404067798458653
ENSMUST00000089332,0.23807487842225938
ENSMUST00000015712,0.2359418879545497
ENSMUST00000189022,0.23107215204561907
ENSMUST00000068967,0.22818665013400838
ENSMUST00000030568,0.22141291417428582
ENSMUST00000058692,0.21776531496367008
ENSMUST00000033198,0.21718344512406018
ENSMUST00000066384,0.2170771488330689
ENSMUST00000040434,0.21531975271874937
ENSMUST00000160791,0.2111686340489305
ENSMUST00000044624,0.20748654469190767
ENSMUST00000176161,0.20733549835388046
ENSMUST00000080559,0.20408894097107602
ENSMUST00000067020,0.20248704019043404
ENSMUST00000026234,0.20067206904807525
ENSMUST00000224088,0.2006321883832963
ENSMUST00000059650,0.19663628897254035
ENSMUST00000021195,0.19645180845260776
ENSMUST00000194514,0.19644270318103638
ENSMUST00000005255,0.19634271639154025
ENSMUST00000094018,0.19234953141878008
ENSMUST00000051773,0.19197275393356406
ENSMUST00000084628,0.18979709571877665
ENSMUST00000176383,0.18600959598025438
ENSMUST00000099151,0.1852760076735326
ENSMUST00000069334,0.18497996143727477
ENSMUST00000093852,0.18374025997656632
ENSMUST00000039516,0.18049628673842763
ENSMUST00000058714,0.17756567577211718
ENSMUST00000038856,0.1774300856568847
ENSMUST00000054351,0.1721496170098841
ENSMUST00000088677,0.17185554116182625
ENSMUST00000065224,0.1687695646325139
ENSMUST00000182056,0.16606189766250878
ENSMUST00000037294,0.1659588035747354
ENSMUST00000028663,0.1659171190627411
ENSMUST00000063597,0.16527570986580423
ENSMUST00000119026,0.1652550800650986
ENSMUST00000079721,0.16485653417398363
ENSMUST00000005815,0.16285569422834162
ENSMUST00000064775,0.16230406221155935
ENSMUST00000027849,0.16099840893214093
ENSMUST00000066412,0.15718103346955584
ENSMUST00000026917,0.15615454569206932
ENSMUST00000045738,0.15540934640342813
ENSMUST00000102665,0.15432767181607537
ENSMUST00000106663,0.15305020459484825
ENSMUST00000025404,0.15102875485169717
ENSMUST00000027601,0.15095356023316855
ENSMUST00000099575,0.15019606445576403
ENSMUST00000102976,0.1497510090277177
ENSMUST00000173533,0.1496786582944647
ENSMUST00000016638,0.14852432055809203
