# Summary
Lipid,R2
PG(40:6) ,0.7586

# Feature Importances
Feature,Importance
ENSMUST00000079788,7.182608464922659
ENSMUST00000042744,2.6015313583866857
ENSMUST00000060125,2.393781661729596
ENSMUST00000005815,2.074368299658131
ENSMUST00000061632,1.8534113387901059
ENSMUST00000042850,1.766383167008908
ENSMUST00000096012,1.7510379351784775
ENSMUST00000113438,1.609162852249542
ENSMUST00000020040,1.45286391651008
ENSMUST00000041646,1.4375039810105918
ENSMUST00000045374,1.2220966660265564
ENSMUST00000142742,1.1532081961938099
ENSMUST00000238946,1.1457324147593761
ENSMUST00000173985,1.0184822259048594
ENSMUST00000118661,1.012151053645795
ENSMUST00000029876,0.9536418673217032
ENSMUST00000176383,0.9401852898665541
ENSMUST00000025497,0.9351412836773453
ENSMUST00000119598,0.9017857009339421
ENSMUST00000091227,0.8997307650063481
ENSMUST00000068967,0.8630313178562768
ENSMUST00000114468,0.8606549815733273
ENSMUST00000065224,0.8362702049576022
ENSMUST00000234410,0.8356857359010518
ENSMUST00000146497,0.8203231584623897
ENSMUST00000032902,0.7243550175548663
ENSMUST00000024660,0.722055974519478
ENSMUST00000029297,0.7100308636623257
ENSMUST00000042792,0.7077972538742713
ENSMUST00000074171,0.6635242538806944
ENSMUST00000103426,0.6611365966819759
ENSMUST00000078856,0.649403179238182
ENSMUST00000113453,0.6395520025305865
ENSMUST00000035083,0.6327279583782398
ENSMUST00000173932,0.6203255490226929
ENSMUST00000062528,0.6114161638752353
ENSMUST00000140626,0.6103540239168186
ENSMUST00000161263,0.5955840549648301
ENSMUST00000022100,0.5950151615891401
ENSMUST00000203732,0.5944471745078755
ENSMUST00000113054,0.5719255544843738
ENSMUST00000171691,0.5650460821239753
ENSMUST00000027988,0.5603365543418151
ENSMUST00000109546,0.5499624288759687
ENSMUST00000094018,0.5296149702007036
ENSMUST00000160810,0.5258486457116613
ENSMUST00000229028,0.49780339325891343
ENSMUST00000024858,0.47778107827106875
ENSMUST00000067741,0.4710214127944346
ENSMUST00000023568,0.45471812712280635
ENSMUST00000028188,0.4446979619391648
ENSMUST00000109159,0.4338467910561574
ENSMUST00000059562,0.4221305671329243
ENSMUST00000224088,0.4090904435070647
ENSMUST00000151015,0.4050664949587923
ENSMUST00000064405,0.404480068728623
ENSMUST00000053306,0.4037724863419988
ENSMUST00000176129,0.40346642023786305
ENSMUST00000002765,0.4029488414883416
