# Summary
Lipid,R2
PA(P-38:6) ,0.1287

# Feature Importances
Feature,Importance
ENSMUST00000042850,2.614007855873091
ENSMUST00000091227,2.5837287248043386
ENSMUST00000042744,2.107259046949422
ENSMUST00000056336,1.9130719568583852
ENSMUST00000063433,1.8517980757117487
ENSMUST00000114893,1.141859880517872
ENSMUST00000124790,1.1135232901415273
ENSMUST00000095037,0.9204719075190523
ENSMUST00000032902,0.7939416420607256
ENSMUST00000152412,0.6802908709292315
ENSMUST00000039987,0.6762582788774133
ENSMUST00000179526,0.6564876290993726
ENSMUST00000109621,0.6346785800896739
ENSMUST00000142118,0.6175561169958128
ENSMUST00000016638,0.5866055453144519
ENSMUST00000023807,0.5833731937664322
ENSMUST00000228095,0.57671846672747
ENSMUST00000023568,0.5631828121949348
ENSMUST00000053306,0.5623810898081018
ENSMUST00000107570,0.5560556740775014
ENSMUST00000173985,0.4953287841616708
ENSMUST00000034802,0.4867225948930573
ENSMUST00000019994,0.4862760087472365
ENSMUST00000100827,0.4691126200145508
ENSMUST00000096012,0.45380023435625183
ENSMUST00000119026,0.44562441320902446
ENSMUST00000111087,0.4356331275726474
ENSMUST00000112335,0.4349458005861441
ENSMUST00000074171,0.4337529551397587
ENSMUST00000043259,0.43107396659078284
ENSMUST00000028663,0.41037077049425247
ENSMUST00000118578,0.40514022953579865
ENSMUST00000001854,0.4024699872941972
ENSMUST00000137402,0.39738428478121796
ENSMUST00000229885,0.3911666459873205
ENSMUST00000099575,0.37781787802317157
ENSMUST00000140626,0.3754218016613156
ENSMUST00000054351,0.3645168949908353
ENSMUST00000066384,0.3618680605134494
ENSMUST00000051756,0.3603700333435859
ENSMUST00000059562,0.35693674100417483
ENSMUST00000124059,0.3540688607812829
ENSMUST00000113054,0.35101473349064205
ENSMUST00000088677,0.3441718886835016
ENSMUST00000093944,0.34138778226247607
ENSMUST00000102820,0.3387805340629266
ENSMUST00000031278,0.33792988112964667
ENSMUST00000030687,0.3358433213931945
ENSMUST00000063597,0.33392456435427514
ENSMUST00000053922,0.33255582479636375
ENSMUST00000012664,0.33236968305254777
ENSMUST00000021195,0.3312101258621961
ENSMUST00000136205,0.3301813732586714
ENSMUST00000029822,0.32993332916709767
ENSMUST00000096494,0.32809340263843767
ENSMUST00000058007,0.327061930203655
ENSMUST00000003502,0.32695601957014625
ENSMUST00000217289,0.3241205135381005
ENSMUST00000095550,0.32409116604245286
ENSMUST00000057021,0.3191402792262586
ENSMUST00000052827,0.3165050529744041
ENSMUST00000014174,0.3153035603070866
ENSMUST00000027849,0.31448262039247715
ENSMUST00000061545,0.31326227572962084
ENSMUST00000005815,0.3112925718063178
ENSMUST00000205228,0.31075893522263587
ENSMUST00000046870,0.31064013660908074
ENSMUST00000221025,0.3094709121135551
ENSMUST00000199581,0.3071328538517687
ENSMUST00000094018,0.30679347955738834
ENSMUST00000066412,0.30165493948939387
ENSMUST00000029948,0.3006671904618863
ENSMUST00000029876,0.2950101302500809
ENSMUST00000058692,0.2948179054017645
ENSMUST00000081654,0.29315796559027013
ENSMUST00000112712,0.2915162008569008
ENSMUST00000038856,0.2909814187263621
ENSMUST00000000275,0.290735615833729
ENSMUST00000069334,0.28908185125997826
ENSMUST00000224088,0.28733198113751685
ENSMUST00000173932,0.2826527285644397
ENSMUST00000030508,0.2826120315293217
ENSMUST00000114468,0.2808260775308802
ENSMUST00000105287,0.2797796587455073
ENSMUST00000075644,0.2791715709453745
ENSMUST00000109424,0.27742610394959344
ENSMUST00000237521,0.2759097087995392
ENSMUST00000139505,0.2742207109468489
ENSMUST00000172278,0.2730724727489848
ENSMUST00000238946,0.26992254212721634
ENSMUST00000053068,0.269712551581963
ENSMUST00000070125,0.2663053031371544
ENSMUST00000000219,0.26495533253025877
ENSMUST00000060225,0.2643341232766015
ENSMUST00000034533,0.2598641130586154
ENSMUST00000169693,0.2598155754625569
ENSMUST00000035471,0.2591313402309046
ENSMUST00000064405,0.25881258992190354
ENSMUST00000052708,0.25709077480646225
ENSMUST00000233296,0.2567456049121489
ENSMUST00000028355,0.25565760142786564
ENSMUST00000020040,0.2542661075940475
ENSMUST00000047480,0.2542094831355038
ENSMUST00000030568,0.2541952384283082
ENSMUST00000027059,0.25364157875449755
ENSMUST00000020439,0.25266073008382045
ENSMUST00000109546,0.25185528069218355
ENSMUST00000034026,0.2515173400694418
ENSMUST00000179308,0.25094017072656727
ENSMUST00000189828,0.2484947409725683
ENSMUST00000134921,0.24838943585209916
ENSMUST00000059650,0.24565241836653393
ENSMUST00000161263,0.2433181689415596
ENSMUST00000089332,0.24252945383629632
ENSMUST00000036992,0.24214648004003372
ENSMUST00000049272,0.24213013068665923
ENSMUST00000145302,0.24211432418074802
ENSMUST00000054095,0.24170233757561746
ENSMUST00000074783,0.2411864631862952
ENSMUST00000061632,0.2398295383339014
ENSMUST00000044380,0.23916357345299705
ENSMUST00000084501,0.238383583033938
ENSMUST00000175898,0.2381184268804731
ENSMUST00000120678,0.23798975807810765
ENSMUST00000067741,0.23699920042304062
ENSMUST00000228435,0.23505244807079256
ENSMUST00000055776,0.2343985133260138
ENSMUST00000159365,0.23382291739826025
ENSMUST00000028188,0.233057171410646
ENSMUST00000122333,0.23247259671409595
ENSMUST00000116613,0.2323888691048251
ENSMUST00000039135,0.2320903725212664
ENSMUST00000172939,0.23097400709658464
ENSMUST00000173533,0.2308746957466822
ENSMUST00000001867,0.23008934731066533
ENSMUST00000035020,0.2295109567783783
ENSMUST00000039516,0.2290940968679235
ENSMUST00000109964,0.22873213881322063
ENSMUST00000024755,0.22820435951719614
ENSMUST00000067444,0.2270486809151179
ENSMUST00000043577,0.22687061599373018
ENSMUST00000026234,0.22454410954551357
ENSMUST00000050958,0.22387230513219358
ENSMUST00000069360,0.22322167471037715
ENSMUST00000100070,0.22249615513446402
ENSMUST00000162098,0.2210879900572084
ENSMUST00000026466,0.22031359306891984
ENSMUST00000037294,0.21996152254690518
ENSMUST00000100676,0.2187273346199705
ENSMUST00000090473,0.21604899239571557
ENSMUST00000049395,0.21563214991597068
ENSMUST00000063140,0.21535845617480737
ENSMUST00000101368,0.21350676280116826
ENSMUST00000093852,0.2132049002312555
ENSMUST00000020102,0.21318832098059817
ENSMUST00000113498,0.21231553184985197
ENSMUST00000077191,0.21149657023994717
ENSMUST00000062483,0.21095764452718874
ENSMUST00000002053,0.2090932242876694
ENSMUST00000027083,0.20719807232545917
ENSMUST00000106663,0.20699614848079786
ENSMUST00000068952,0.20698140570443066
ENSMUST00000107968,0.20693708056215773
ENSMUST00000095266,0.2066062556682215
ENSMUST00000110510,0.20571971074456116
ENSMUST00000189022,0.20468813117016263
ENSMUST00000051773,0.20422872116129717
ENSMUST00000028389,0.2039192452372858
ENSMUST00000175965,0.20388833034223347
ENSMUST00000021770,0.20362018517614835
ENSMUST00000084650,0.203196359151914
ENSMUST00000035083,0.20274185681214751
ENSMUST00000124071,0.20096123521389095
ENSMUST00000103426,0.19877078291966435
ENSMUST00000084615,0.198609954093542
ENSMUST00000060369,0.19789946570673905
ENSMUST00000028118,0.19773882278829968
ENSMUST00000203945,0.19739782327028776
ENSMUST00000049999,0.1969812262948735
ENSMUST00000169934,0.1956589647401277
ENSMUST00000000910,0.19556551200367986
ENSMUST00000093110,0.19515013147646332
ENSMUST00000081265,0.19344080170492584
ENSMUST00000012587,0.19322324313687325
ENSMUST00000030489,0.19169848513454443
ENSMUST00000116304,0.19148087911652212
ENSMUST00000176129,0.1911432626109829
ENSMUST00000111332,0.1904804568403272
ENSMUST00000029848,0.19006399893437678
ENSMUST00000032768,0.18886578694901268
ENSMUST00000052907,0.18853117700313868
ENSMUST00000112706,0.18728525448984987
ENSMUST00000074372,0.18675160872251775
ENSMUST00000184666,0.18429810856106926
ENSMUST00000056442,0.18391847551680884
ENSMUST00000082430,0.18225500117653418
ENSMUST00000072899,0.18144374095068075
ENSMUST00000119598,0.18112030701804635
ENSMUST00000071798,0.1808230366497895
ENSMUST00000014777,0.17845875568686906
ENSMUST00000044180,0.1778077481040182
ENSMUST00000108271,0.1768584938177105
ENSMUST00000178477,0.1764414858009908
ENSMUST00000034903,0.17506622069413527
ENSMUST00000057849,0.17503656305337661
ENSMUST00000047328,0.17484192565430753
ENSMUST00000146497,0.17374171715680925
ENSMUST00000174353,0.17296034425469037
ENSMUST00000041646,0.17224553952738567
ENSMUST00000129100,0.17223244598993476
ENSMUST00000058787,0.17201468145326318
ENSMUST00000206034,0.17169809327908672
ENSMUST00000029441,0.17165535098382143
ENSMUST00000139906,0.1707364214756417
ENSMUST00000196324,0.17066845045167875
ENSMUST00000105283,0.16985082184796255
ENSMUST00000176161,0.16921693611634275
ENSMUST00000044828,0.1688503003713631
ENSMUST00000094103,0.168529346305611
ENSMUST00000119310,0.16741725545054476
ENSMUST00000032710,0.16718969571449996
ENSMUST00000042792,0.16658801841779644
ENSMUST00000036300,0.16640791813005668
ENSMUST00000075764,0.16415472552818736
ENSMUST00000033919,0.16404678562142924
ENSMUST00000169095,0.16379626158910707
ENSMUST00000069763,0.1632960537009913
ENSMUST00000067841,0.16326608448226057
ENSMUST00000084628,0.16223091096095293
ENSMUST00000159359,0.1620328679608545
ENSMUST00000099151,0.16143821801562544
ENSMUST00000161490,0.16126487161471878
ENSMUST00000060943,0.15948818772662884
ENSMUST00000030025,0.15940891443464916
ENSMUST00000073957,0.15901329055045416
ENSMUST00000028689,0.1586873189742155
ENSMUST00000053017,0.1583657958697296
ENSMUST00000180488,0.1583094085526125
ENSMUST00000130300,0.15818447921597675
ENSMUST00000028838,0.15811937923101294
ENSMUST00000048289,0.15803180501024675
ENSMUST00000042158,0.15508583725232664
ENSMUST00000160777,0.15469876478065647
