,Loss,R2,R2_no_scale
LPC O- 18:3,0.007782600553855751,0.29392485250468664,0.29392485204767327
LPC 15:1,0.0034043422050669694,0.7707323440350835,0.7707323444103813
LPC 20:4,0.003901023897919009,0.44051918474543655,0.4405191859260105
LPC 22:6,0.0062235052268409165,0.447114215156855,0.44711421470277307
Cer 40:2,0.0023813744576375536,0.6060628428696232,0.6060628436810755
Cer 42:2,0.0015413799445364918,0.5757796161597881,0.57577961541299
HexCer(d32:2),0.009012215503895122,0.6687498118509703,0.6687498110661595
PE(32:1),0.007678982154715919,0.4944428549929934,0.4944428557900248
PA(34:1),0.005347082332324127,0.802866292854036,0.8028662931914997
PG(30:1),0.004856264642842149,0.5803399825282025,0.5803399824687963
PA 36:4,0.006050507727153034,0.531533175293941,0.5315331760038605
PA(36:3),0.0015977313880332377,0.31830273430027944,0.31830273474350734
PA 36:2,0.006290820519773009,0.6272651776233882,0.6272651720894661
PE O-34:2,0.0045945930717301315,0.11757374087608412,0.11757374140174062
PA 36:1,0.004634348831973129,0.5933139923338157,0.5933140000982069
SM 34:1,0.001982386735753484,0.4412199635254028,0.4412199668979523
PE(O-34:1),0.01016378249579295,0.501092725424913,0.5010927292374611
PC(30:0),0.003929123048378543,0.3965674144672135,0.39656741163100434
PG 32:0,0.0075151643584328905,0.2320302510478311,0.23203025115331402
PC 33:1,0.0014142486703462877,0.1073194109783548,0.10731941048935767
PC 33:0,0.002940050168295685,0.5527638506945486,0.5527638507576593
SM(d36:1),0.0019183105167444319,0.7611231983524096,0.7611231976347462
PC(32:1),0.00267985284060659,0.6769521998363841,0.6769521994932852
PE-Cer(d38:1),0.014630699651907724,0.3609673242133516,0.3609673250870151
PE 34:1,0.002975828311733934,0.1909585145247074,0.19095851344218945
PC 34:2,0.0010912260052278993,0.16618620772074277,0.16618620714865914
PA 38:3,0.002906504577191211,0.2711527139482702,0.27115271612188485
PI-Cer(t32:2),0.005180547842456735,0.21506055572016464,0.2150605631506873
PE(36:2),0.004631378197361842,0.0826080918595941,0.08260809099666273
PS(O-34:0(OH)),0.0031590309087860696,0.7195285955243529,0.7195285953302574
SM(d36:2),0.005659745764437347,0.7796127460700152,0.7796127472461098
PA 39:1,0.0036457296100202824,0.6686232164944446,0.6686232162238991
PE O-36:2,0.005866069218696766,0.5549857104186195,0.5549857093573046
HexCer 36:0,0.0007973243982822009,0.5840201681173393,0.5840201672607942
PA(38:1),0.006370177694836598,0.33929411005711296,0.33929411067607546
PE 36:0,0.0051641853647510115,0.7624655070707335,0.7624655065644316
LBPA(34:1),0.0033399962556882024,0.6824030754163629,0.6824030759834425
PG(34:0),0.006872290840170015,0.8015696106202401,0.8015696095616882
PA 40:4,0.005354346793528467,0.6670433215250698,0.6670433222713426
PC 35:0,0.015740903297605677,0.3068477916837627,0.3068477928965773
PE 36:2,0.005263145756089273,0.33889937859857383,0.338899378591799
HexCer 36:1,0.0037715968756389046,0.6651305321073612,0.6651305317208789
HexCer 40:2,0.0013489179851168278,0.6657840740005112,0.6657840750259514
PE O-39:7,0.001568411193620527,0.27748761089351204,0.2774876107364771
CerP(t42:1),0.004735102729365911,0.385283033249244,0.3852830329176797
PE(36:0),0.002956613215231622,0.4276711777910959,0.4276711761957455
PC 36:2,0.000862306337247948,0.25788041323346916,0.2578804137000317
PA(40:6(OH)),0.0032930400256108903,0.6213478322673496,0.621347832374526
PA(40:5),0.0014118438670400464,0.6960460553735989,0.6960460554010223
PE 37:2,0.0006942460343174853,0.4459166822163336,0.4459166828685083
PE 40:4,0.0019506618438375838,0.34409901876926074,0.34409901843727625
SM 38:1,0.0007674943758905854,0.6372533098228337,0.6372533087969077
PC 34.1,0.006825683417144376,0.6419593478568388,0.6419593480321615
PG(36:1),0.006757097548372798,0.6379777232301417,0.6379777266781892
PE O-40:6,0.005386909521876538,0.5662460939928663,0.5662460936251437
PC 37:1,0.005291446618656162,0.15959609306675684,0.1595960918687845
PG(34:1(OH)),0.005959099649114919,0.602405137261031,0.6024051378801121
PC 36.2,0.001140582133872702,0.39290251206974497,0.392902507666461
HexCer 40:0,0.0024284535666888795,0.6206747976581469,0.6206747982639417
PC 35:2,0.006105851605155692,0.41687253950161196,0.4168725404432756
HexCer 38:1,0.002582586146850539,0.7212458700492691,0.7212458701119304
PA(42:8),0.0073882494006662245,0.4367449961116976,0.4367449959030404
PE(40:7),0.006212670130900837,0.27918826675983743,0.2791882670335688
PA 42:7,0.0016677050732910787,0.4867779600918789,0.48677795866696005
PE(P-40:6),0.003936776168347117,0.25018659830465206,0.2501865979448875
PE O-41:11,0.004808975642520912,0.3105335116008377,0.3105335110908623
PS(38:0),0.002437989911429988,0.7648402680344798,0.764840268479899
PG(38:4),0.004165175758119508,0.7895711337489881,0.7895711337351912
PC O-39:9,0.005936399741645562,0.699440266011017,0.6994402647973919
PC 36:3,0.0011332863640063984,0.32558334694688745,0.3255833454632161
HexCer 40:1,0.0028815919186745884,0.7723146062314534,0.7723146057085291
PG(38:3),0.0030761755935355115,0.2933236868130694,0.29332368582466095
PE(40:9),0.005820498313500162,0.6321527092747525,0.6321527097469144
PE O-42:8,0.0021500408048374066,0.34774471931840933,0.3477447170307581
PG(38:2),0.0027029555426400695,0.3146851027030643,0.3146851034801335
SM 40:1,0.0005555637498501343,0.7386766367356887,0.7386766373796478
PG(38:1),0.0028532337527799557,0.5471745932281584,0.5471745919631001
PE 40:7,0.0029268221834217933,0.6223487536794339,0.6223487527093421
PS 36:1,0.0007953049138492603,0.6227074508177538,0.6227074510932813
PC 38:5,0.0011769310475304557,0.6344895700038619,0.6344895709691056
PE(40:4),0.0026043806423313707,0.39539807310893416,0.39539807137156824
Hex2Cer 32:1,0.007595146671800787,0.40066580795744916,0.40066580822689774
HexCer 40:2;O3,0.002643856158366918,0.6879325087306138,0.6879325086214154
PI-Cer(d38:0),0.0032103264420288756,0.76178122672413,0.7617812272841192
PC(P-40:6),0.003168307944398809,0.711766804396856,0.7117668041860216
HexCer(t40:0),0.0020507501100035463,0.6944649169082245,0.6944649163825041
SM(t40:1),0.005423187199308187,0.5285683430641681,0.528568341933083
PG(40:6),0.002242458900878349,0.7099802868091565,0.7099802881692729
PC(38:5),0.002551856961952923,0.5782013784966624,0.5782013777607816
PS(40:1),0.00202947715253366,0.7041259759070309,0.704125975268321
PE-Cer(d46:3),0.0025452655427512204,0.6766534642007495,0.6766534647620743
HexCer(t42:2),0.003426824007828794,0.6950567584086256,0.6950567581474953
PG(40:4),0.0015610730116164162,0.7342635832606986,0.7342635829266237
