,withNA,noNA
ENSMUST00000028118,0.05774471207185655,0.029550984103127554
ENSMUST00000028280,0.11615211297879702,0.5755574415225784
ENSMUST00000030676,0.025463724547282827,0.038639334845513414
ENSMUST00000047328,0.13329776059753226,0.0856675707168528
ENSMUST00000057021,0.1123987932311236,0.07249930961351406
ENSMUST00000090697,0.029727710185811412,0.03511675667861333
ENSMUST00000091554,0.01342516707036107,0.012151624975450068
ENSMUST00000162772,0.012545650084967728,0.15065289566634602
ENSMUST00000021284,0.15673308931779759,0.20161383242254838
ENSMUST00000022195,0.03477273212730751,0.042830269916079536
ENSMUST00000029876,0.7898913963271481,0.8721468353378627
ENSMUST00000030533,0.22339817734600714,0.06577439187743124
ENSMUST00000037974,0.1272386953805942,0.15325997573789482
ENSMUST00000058007,0.10092891439568669,0.2503636585678386
ENSMUST00000014777,0.028745174487194852,0.09239327971225797
ENSMUST00000023807,0.05497523341131474,0.07177110899292652
ENSMUST00000036060,0.26256116097568605,0.177676211186914
ENSMUST00000123454,0.08375426748118496,0.03191670416176816
ENSMUST00000134921,0.09361565242535114,0.034557409900801465
ENSMUST00000155648,0.017538733327123943,0.04045975166726618
ENSMUST00000174661,0.05376986261225129,0.07939378158308807
ENSMUST00000203732,0.015618133011300168,0.023873480032252696
ENSMUST00000003754,0.02245652975852528,0.04696043015886503
ENSMUST00000021970,0.10871726951872232,0.08616312330603892
ENSMUST00000027991,0.010845064574054491,0.03281889151565143
ENSMUST00000032710,0.011967027455470595,0.12217827515940421
ENSMUST00000038364,0.07799505800647742,0.06599811098560456
ENSMUST00000039135,0.03591951016901735,0.003905016008381977
ENSMUST00000044624,0.04788678446370542,0.07608197788664701
ENSMUST00000053768,0.0901295275925494,0.06327382168085223
ENSMUST00000064770,0.07276105843130334,0.1380501147048157
ENSMUST00000067444,0.07360403921405444,0.12144069153716609
ENSMUST00000068581,0.1733729141891461,0.16239566887387907
ENSMUST00000095360,0.03271156094575091,0.07321944175210943
ENSMUST00000097648,0.07066939913615415,0.022450890576328857
ENSMUST00000111656,0.0374020090930505,0.014737700926989216
ENSMUST00000112335,0.016057032225210863,0.02627574671265116
ENSMUST00000112706,0.019813377582558942,0.027925334710358567
ENSMUST00000112832,0.08778878584768825,0.025951665465696456
ENSMUST00000113438,0.2602650383086027,0.32864056132520525
ENSMUST00000130300,0.027276290919788556,0.055132153366876345
ENSMUST00000142742,0.028139033174531102,0.31285979099910305
ENSMUST00000174353,0.6018331821173021,0.4558214614633229
ENSMUST00000196324,0.03555168728668153,0.014121427137954095
ENSMUST00000238946,0.12597509253821584,0.14756426126316466
ENSMUST00000001854,0.5625577410805095,0.04681783594824838
ENSMUST00000003351,0.05853577752779368,0.0510980039332895
ENSMUST00000004076,0.06695624086014086,0.07446768716986013
ENSMUST00000005493,0.16626896709755615,0.47043032808968727
ENSMUST00000005860,0.044789591713898846,0.04813518910448763
ENSMUST00000017637,0.007948922948806968,0.018453367054203668
ENSMUST00000022013,0.10979234452384228,0.025994944075219774
ENSMUST00000027451,0.01547269390530274,0.05568490002913324
ENSMUST00000027467,0.10109001725226069,0.04208793638735429
ENSMUST00000029948,0.029574512918972118,0.05148085778731819
ENSMUST00000034903,0.006527154867180916,0.049733455281303025
ENSMUST00000036019,0.15107403864727073,0.04417589312170877
ENSMUST00000036300,0.2704112376212521,0.3129308477160089
ENSMUST00000037623,0.0057050323356422255,0.00744875665940757
ENSMUST00000038815,0.07599271817117971,0.03941786549941536
ENSMUST00000042744,0.29770938788497747,0.14545025053403493
ENSMUST00000044380,0.07280419772450183,0.15488079615662387
ENSMUST00000044828,0.06116801354573794,0.062414762978132046
ENSMUST00000045738,0.04705649124451306,0.19229941464996
ENSMUST00000050958,0.08496285699658626,0.04498524445523659
ENSMUST00000052907,0.003630974338838376,0.16841717827796215
ENSMUST00000053764,0.013549104635672356,0.06704510817034959
ENSMUST00000054351,0.09130685097834734,0.13766745557061097
ENSMUST00000054883,0.031745722054590246,0.25246207502925155
ENSMUST00000059562,0.04111135996879539,0.0120225839335855
ENSMUST00000062528,0.7084654759986385,0.875262794515448
ENSMUST00000063278,0.03479254226312413,0.055348533847701914
ENSMUST00000070748,0.043695746481431375,0.011536867907767479
ENSMUST00000077962,0.0761554714311277,0.12136572658991084
ENSMUST00000084615,0.02999438883625076,0.03881171686006204
ENSMUST00000093852,0.11987607869616662,0.223385224238382
ENSMUST00000099151,0.13528171398837094,0.09356586499410958
ENSMUST00000107570,0.005639061976812296,0.09047226508074699
ENSMUST00000109424,0.9259675993723313,1.159514596177012
ENSMUST00000111063,0.0249553853041042,0.024016139665291442
ENSMUST00000111332,0.059639949890762885,0.03829511704184801
ENSMUST00000113453,0.030702857217873945,0.06352153118700359
ENSMUST00000119068,0.012116764696226735,0.042846910551088815
ENSMUST00000128904,0.03917400490765806,0.036996442268421206
ENSMUST00000139906,0.8803454945195989,0.756552910182809
ENSMUST00000140626,0.1884726359843224,0.044337278069232364
ENSMUST00000146497,0.0322721137575389,0.0331015379893092
ENSMUST00000162899,0.0434652043649334,0.17784768834684309
ENSMUST00000167199,0.03171160677577463,0.05272996919107612
ENSMUST00000169470,0.05514924071720108,0.055873991869352234
ENSMUST00000176383,0.7469381963145044,0.23599744029812658
ENSMUST00000176438,0.001136324920618873,0.037743345282290376
ENSMUST00000184666,0.21896386079133037,0.13481859117402703
ENSMUST00000186458,0.16083142760329672,0.4556597772986942
ENSMUST00000191829,0.038804318994482695,0.013348126274001804
ENSMUST00000206034,0.07811742222252,0.05555642113792714
ENSMUST00000219723,0.0043514442990605865,0.045535794102228445
ENSMUST00000234410,0.025587196722873223,0.0075925809551358105
ENSMUST00000028689,0.10055858760569165,0.07500741107202141
ENSMUST00000044278,0.314924854995149,0.2274812715673446
ENSMUST00000159359,0.02454552498013637,0.11723542380507358
ENSMUST00000160777,0.02066989385621291,0.041259734114406525
ENSMUST00000210209,0.10186249062920676,0.22352663596226938
ENSMUST00000060125,0.08080205189054472,0.037675093811270086
ENSMUST00000061601,0.41786046310477987,0.41556017583240074
ENSMUST00000095784,0.8921477839156473,0.16655279595705225
ENSMUST00000109191,0.12502668775357176,0.0735854918895717
ENSMUST00000139064,0.07134860036904067,0.03837410809582351
ENSMUST00000189828,0.048507776268667244,0.041796878510283575
ENSMUST00000022246,0.05861684788201585,0.09595449869252005
ENSMUST00000035471,0.029441643780667076,0.05160715437053523
ENSMUST00000058714,0.018943814936835935,0.0040988263033122285
ENSMUST00000063918,0.027555710192768385,0.00948356443545135
ENSMUST00000105287,0.48329968444432464,0.5426052532573692
