,withNA,noNA
ENSMUST00000028118,0.12829285157227524,0.13496959345360401
ENSMUST00000028280,0.12559843391916145,0.15946349662735268
ENSMUST00000030676,0.0967681209740706,0.06626457170952277
ENSMUST00000047328,0.17234949598579755,0.2509212196622343
ENSMUST00000057021,0.09689643931480253,0.15941660415342576
ENSMUST00000090697,0.04532685212587385,0.08880776968540173
ENSMUST00000091554,0.6296454968018999,0.40735043330816945
ENSMUST00000162772,0.046323060601517384,0.07002055854754627
ENSMUST00000021284,0.10942964471620653,0.05365315921581044
ENSMUST00000022195,0.06760090183654402,0.06923063629269241
ENSMUST00000029876,1.1874126869655381,1.476347126478987
ENSMUST00000030533,0.19484662567910382,0.022805170633740116
ENSMUST00000037974,0.06126527693061438,0.1831380513316083
ENSMUST00000058007,0.14696485837608983,0.2170075479180289
ENSMUST00000014777,0.12682999949285123,0.11641820965884332
ENSMUST00000023807,0.22678942175085498,0.09637196067702469
ENSMUST00000036060,0.04837229707127251,0.06685882786737743
ENSMUST00000123454,0.007489192279528556,0.1310016381724345
ENSMUST00000134921,0.12662487795552743,0.1330259102591222
ENSMUST00000155648,0.6320646640886668,0.062046443516066585
ENSMUST00000174661,0.06720857084060555,0.05557152376413857
ENSMUST00000203732,0.1838142948362094,0.09543118314718149
ENSMUST00000003754,0.3436338953046175,0.18239771758360904
ENSMUST00000021970,0.08696839743583362,0.07807785001283028
ENSMUST00000027991,0.11572310684606439,0.015952272031421567
ENSMUST00000032710,0.15502527524522502,0.24048365800487334
ENSMUST00000038364,0.13224921660562453,0.1785596823097976
ENSMUST00000039135,0.08526768020273784,0.040795366763772295
ENSMUST00000044624,0.10360497750765561,0.09345586637370391
ENSMUST00000053768,0.09230087119349123,0.19099182575420726
ENSMUST00000064770,0.14894154014306993,0.17642429401456677
ENSMUST00000067444,0.2629559186589835,0.876927565095588
ENSMUST00000068581,0.27393485870559875,0.15220524446496816
ENSMUST00000095360,0.09836393341208104,0.1015175154160575
ENSMUST00000097648,0.48400207355559777,0.03506254697929089
ENSMUST00000111656,0.09804743104942537,0.03761634724254384
