,withNA,noNA
ENSMUST00000028118,0.3299023359002191,0.24787757867966412
ENSMUST00000028280,0.31728710767541657,0.05657472826775448
ENSMUST00000030676,0.12658198556275949,0.24019980321184187
ENSMUST00000047328,0.33137226180051926,0.1068775015979271
ENSMUST00000057021,0.5461416964583583,0.32685425805925883
ENSMUST00000090697,0.11065770816325071,0.11090109539698653
ENSMUST00000091554,0.08952459227529058,0.12500011057451396
ENSMUST00000162772,0.0574117608584263,0.06161900023577792
ENSMUST00000021284,0.3044731474144858,0.20362477715132882
ENSMUST00000022195,0.18368322339512747,0.13031004658171072
ENSMUST00000029876,0.33401311919051424,0.05031975708007848
ENSMUST00000030533,0.17206899996605246,0.04960181544140762
ENSMUST00000037974,0.12990085094270779,0.06679271946023642
ENSMUST00000058007,0.12962407131142858,0.16181617286900019
ENSMUST00000014777,0.2353876861620297,0.08111575996354717
ENSMUST00000023807,0.1974149209286774,0.479844862363934
ENSMUST00000036060,0.15155352369075537,0.08713283022171578
ENSMUST00000123454,0.09096087812214339,0.21760461153060184
ENSMUST00000134921,0.0985348031261983,0.1444466991437752
ENSMUST00000155648,0.07910985248193221,0.0897524292333516
ENSMUST00000174661,0.030816423894805434,0.13431490189345197
ENSMUST00000203732,0.20293884871059034,0.3367534100594664
ENSMUST00000003754,0.1325292337337087,0.31443514071203227
ENSMUST00000021970,0.16272739341136505,0.10291930373639155
ENSMUST00000027991,0.07695178089999216,0.13265344064158266
ENSMUST00000032710,0.22720520676084416,0.32269073093007794
ENSMUST00000038364,0.028742629761016828,0.1659927238341238
ENSMUST00000039135,0.07828445922764382,0.02622579665072237
ENSMUST00000044624,0.06647018300439901,0.06719763777097794
ENSMUST00000053768,0.03741335917387887,0.16598579727662544
ENSMUST00000064770,0.045923366631991244,0.053791405040890194
ENSMUST00000067444,0.4621630415249145,0.05631986860359273
ENSMUST00000068581,0.14800648679944478,0.036573150172367896
ENSMUST00000095360,0.13803695814029845,0.10970983417299199
ENSMUST00000097648,0.06030826181953718,0.06926688185006383
ENSMUST00000111656,0.05826369256704687,0.054461758978099864
ENSMUST00000112335,0.1386091063275136,0.08319393329642176
ENSMUST00000112706,0.06220769736087948,0.46931538912574566
ENSMUST00000112832,0.09603112495560848,0.258466369435553
ENSMUST00000113438,0.0960959682595012,0.04146874599152424
ENSMUST00000130300,0.27010422202043716,0.4314074564038904
ENSMUST00000142742,0.20136904441858602,0.4650251233566006
ENSMUST00000174353,0.15667338346466686,0.054183573840174026
ENSMUST00000196324,0.1951900717820481,0.025774350922649666
ENSMUST00000238946,0.3636722201965621,0.19951510749746432
ENSMUST00000001854,0.24774393414285303,0.20179390078292742
ENSMUST00000003351,0.056811446420326005,0.09323392124701656
ENSMUST00000004076,0.14111307212196933,0.10072271110473714
ENSMUST00000005493,0.041092704774378874,0.3549873815054637
ENSMUST00000005860,0.1265231895398254,0.16238968166156817
ENSMUST00000017637,0.10501031719753355,0.26690571683683134
ENSMUST00000022013,0.15098814698998447,0.06748076017077745
ENSMUST00000027451,0.03354607678425208,0.025857464077275932
ENSMUST00000027467,0.10348197929580571,0.16690743063924018
ENSMUST00000029948,0.3340667311788119,0.13588397391989743
ENSMUST00000034903,0.18973325686730508,0.06003126104120194
ENSMUST00000036019,0.1396248313237788,0.09512622137787041
ENSMUST00000036300,0.09948888266615291,0.105281367422966
ENSMUST00000037623,0.10725558307316083,0.012601228289463499
ENSMUST00000038815,0.051842885656042385,0.42281684175450607
ENSMUST00000042744,1.4074161392088966,0.2896824782425614
ENSMUST00000044380,0.06103078606173297,0.08514520343020882
ENSMUST00000044828,0.2528266409486719,0.23704903919175865
ENSMUST00000045738,0.02983442347966555,0.21216849024276999
ENSMUST00000050958,0.24459162573150178,0.17351150209888763
ENSMUST00000052907,0.25905258115724733,0.2672463632571488
ENSMUST00000053764,0.0495888492746772,0.030903711751568242
ENSMUST00000054351,0.19751434920954974,0.15657829484137953
ENSMUST00000054883,0.06626286101065212,0.037918958602116526
ENSMUST00000059562,0.2375666341798492,0.022265115943967975
ENSMUST00000062528,0.02778455874913588,0.14334857380632984
ENSMUST00000063278,0.06666025464491443,0.09513228847236109
ENSMUST00000070748,0.10565357686819192,0.12244761096935958
ENSMUST00000077962,0.007614458516065438,0.04415604273234694
ENSMUST00000084615,0.034473255308990355,0.0806648909585649
ENSMUST00000093852,0.02927984135697866,0.17087041083455953
ENSMUST00000099151,0.09606113555023474,0.12600553471017592
ENSMUST00000107570,0.07010997604142324,0.08263846085256848
ENSMUST00000109424,0.13751030952705698,0.09160161260246606
ENSMUST00000111063,0.0619858544072516,0.2886125744015519
ENSMUST00000111332,0.02893698571951011,0.10476024299116639
ENSMUST00000113453,0.203009507111728,0.11402934577122242
ENSMUST00000119068,0.04919013462369403,0.17331070127463458
ENSMUST00000128904,0.051349595631646344,0.06864985726380687
ENSMUST00000139906,0.08899848209830566,0.06720897714708696
ENSMUST00000140626,0.2847869633502055,0.13278059636040804
ENSMUST00000146497,0.23137065095146264,0.13667681763979164
ENSMUST00000162899,0.10604817198929824,0.12793957777365197
ENSMUST00000167199,0.11749024794598599,0.12105088644432373
ENSMUST00000169470,0.010419917321756561,0.14469836230293331
ENSMUST00000176383,0.20164460914767543,0.15289766322774317
ENSMUST00000176438,0.15629890277089836,0.15674861345574917
ENSMUST00000184666,0.14935426361174928,0.14159469261794014
ENSMUST00000186458,0.07649567672959816,0.9809326161771663
ENSMUST00000191829,0.25660524759537223,0.04937533974753079
ENSMUST00000206034,0.811033534780756,0.13074411489621457
ENSMUST00000219723,0.13580547595195813,0.10701920648070905
ENSMUST00000234410,0.18920092805453642,0.16611175591056332
ENSMUST00000028689,0.2063133565662975,0.12440056909717245
ENSMUST00000044278,0.04047944285734738,0.06267972838038774
