,withNA,noNA
ENSMUST00000028118,0.05172722974182979,0.21849387926528321
ENSMUST00000028280,0.12955381045591763,0.1209364652649119
ENSMUST00000030676,0.05399186980053072,0.026464026225649383
ENSMUST00000047328,0.05522023950337962,0.040283290996427946
ENSMUST00000057021,0.06252143518963596,0.11363114580192153
ENSMUST00000090697,1.012769000520708,0.1296396887601451
ENSMUST00000091554,0.06260838005423676,0.06625554509211432
ENSMUST00000162772,0.0661635326138539,0.09025633292858794
ENSMUST00000021284,0.2480099840976023,0.7311950964310325
ENSMUST00000022195,0.07435747186170079,0.057382570040399615
ENSMUST00000029876,0.1810538072237592,0.15402762592843597
ENSMUST00000030533,0.024386699963425698,0.07595351995799389
ENSMUST00000037974,0.056473725006341645,0.05394118047986088
ENSMUST00000058007,0.3885371805921648,0.07724688082189404
ENSMUST00000014777,0.0499086474141806,0.02144283580987851
ENSMUST00000023807,0.1464729676945497,0.5185513729823656
ENSMUST00000036060,0.04936351163050107,0.022209207720871843
ENSMUST00000123454,0.051165574129842996,0.03928317236492231
ENSMUST00000134921,0.04767260928227901,0.04012854963011224
ENSMUST00000155648,0.06416714370583841,0.04215211100710449
ENSMUST00000174661,0.26074004622749325,0.25910539289711243
ENSMUST00000203732,0.05061112090109378,0.017420491229842818
ENSMUST00000003754,0.06978202970692188,0.055903015861813614
ENSMUST00000021970,0.10397864564404777,0.04369582218111162
ENSMUST00000027991,0.023552791885876806,0.047370625838196886
ENSMUST00000032710,0.1768844940550867,0.30590496696777403
ENSMUST00000038364,0.040085004937680316,0.04591281745752604
ENSMUST00000039135,0.0439387469966297,0.03359431884014452
ENSMUST00000044624,0.07007499529548622,0.06201662004209063
ENSMUST00000053768,0.06989840515338096,0.05093177661884221
ENSMUST00000064770,0.03629048030639183,0.025504788718983113
ENSMUST00000067444,0.23562165093127505,0.20436590788541603
ENSMUST00000068581,0.03725118894602902,0.027827892906844856
ENSMUST00000095360,0.09117539691439863,0.14941759491228865
ENSMUST00000097648,0.025731043418108467,0.018172435360278346
ENSMUST00000111656,0.06474540745104308,0.044618059224193325
ENSMUST00000112335,0.06126034585506014,0.023894138189234547
ENSMUST00000112706,0.05710662163982532,0.11367845043327879
ENSMUST00000112832,0.14472182167440872,0.009184815853490734
ENSMUST00000113438,0.12690451638190267,0.12306909666937343
ENSMUST00000130300,0.06186470181204847,0.06264647813841338
ENSMUST00000142742,0.0065746006794207765,0.3354061283897375
ENSMUST00000174353,0.7234391387236464,0.6395329073514283
ENSMUST00000196324,0.04377016991188632,0.0031221193786228505
ENSMUST00000238946,0.1593078377666471,0.3985388376767957
ENSMUST00000001854,0.03437220815914658,0.11436193298781107
ENSMUST00000003351,0.03721896252422154,0.05462098434178114
ENSMUST00000004076,0.08504188633058572,0.12234901934660904
ENSMUST00000005493,0.39503646744200493,0.2587864594904475
ENSMUST00000005860,0.14082450844698005,0.02688352624292359
ENSMUST00000017637,0.09527771480223805,0.032365235004677965
ENSMUST00000022013,0.19086141801507003,0.029846288473349934
ENSMUST00000027451,0.04155654613699641,0.04287023827971926
ENSMUST00000027467,0.032244064611892706,0.056951289493595535
ENSMUST00000029948,0.17565623289401644,0.0893333116962767
ENSMUST00000034903,0.06296011875224451,0.15160594697902854
ENSMUST00000036019,0.19413960435345523,0.037140960165558075
ENSMUST00000036300,0.07543782754887154,0.06028780588678035
ENSMUST00000037623,0.03153478290704449,0.028421110123826625
ENSMUST00000038815,0.047142110883030455,0.0649394438040137
ENSMUST00000042744,0.5938572905932836,0.2573009480990235
ENSMUST00000044380,0.07478727758047266,0.07543798869089112
ENSMUST00000044828,0.09445516499215813,0.09658723901702479
ENSMUST00000045738,0.035551658088680965,0.053266220278877514
ENSMUST00000050958,0.07062536333403718,0.09165479988620928
ENSMUST00000052907,0.2261182405342013,0.21838058861271378
ENSMUST00000053764,0.029034111387405463,0.003640945791022013
ENSMUST00000054351,0.3825138221128833,0.8809169063864186
ENSMUST00000054883,0.0723024146540797,0.11579686687620981
ENSMUST00000059562,0.05568113693967779,0.022448274873597875
ENSMUST00000062528,0.05175870528423348,0.05237479243706644
ENSMUST00000063278,0.07827408065855078,0.08486804570753768
ENSMUST00000070748,0.13209037678667898,0.09412268560339938
ENSMUST00000077962,0.037270550876922694,0.027767011627286165
ENSMUST00000084615,0.3369872814431218,0.3356755253597029
ENSMUST00000093852,0.09490681187875741,0.06507572937445895
ENSMUST00000099151,0.21946884532797342,0.08528429823896701
ENSMUST00000107570,0.06889308293386957,0.16498062222928
ENSMUST00000109424,0.06617873027704718,0.08387257920318834
ENSMUST00000111063,0.05503527241300869,0.0
ENSMUST00000111332,0.01674602442235902,0.05943766810639299
ENSMUST00000113453,0.0649895263260709,0.037379092623826916
ENSMUST00000119068,0.1741869223141521,0.4296870664142755
ENSMUST00000128904,5.777681430293928,6.044036077215105
ENSMUST00000139906,0.04518041300987368,0.15669621641403514
ENSMUST00000140626,0.24175633000560195,0.4617509692474513
ENSMUST00000146497,0.3026969162011703,0.3304482826506688
ENSMUST00000162899,0.023821941182903327,0.035126912157713505
ENSMUST00000167199,0.01579995621716698,0.07740564371304301
ENSMUST00000169470,0.051436584841690614,0.04281187417854128
ENSMUST00000176383,0.11631412771496469,0.39162455600295
ENSMUST00000176438,0.05732648560625752,0.04104673228452624
ENSMUST00000184666,0.10671828070099902,0.08459963292118863
ENSMUST00000186458,0.2756085086606811,0.08242261153192089
ENSMUST00000191829,0.3064789762988499,0.40683025410578555
ENSMUST00000206034,0.641717242134028,0.4418867625432143
ENSMUST00000219723,0.03828471041239291,0.06605899543562933
ENSMUST00000234410,0.03186795259511215,0.04069316650189863
ENSMUST00000028689,0.18656668814212862,0.2511186968811559
ENSMUST00000044278,0.013268522347398842,0.060330095517039786
ENSMUST00000159359,0.23679767631924453,0.3624968712346383
ENSMUST00000160777,0.02309334660231325,0.047996434898324745
ENSMUST00000210209,0.08217732972325661,0.11464372312857372
ENSMUST00000060125,0.024210571701771287,0.03168556831425503
ENSMUST00000061601,0.2909820967662578,0.04701531507402613
ENSMUST00000095784,0.08861105037902184,0.06998089573397538
ENSMUST00000109191,0.23806248096876315,0.15033607651500472
ENSMUST00000139064,0.0880049442080656,0.12065480154730958
ENSMUST00000189828,0.048451646353383296,0.034174732948457506
ENSMUST00000022246,0.0707750344127792,0.04504930710283612
ENSMUST00000035471,0.3497555039192416,0.16990245904070697
ENSMUST00000058714,0.06549112551338059,0.07176512115113863
ENSMUST00000063918,0.26651382676023044,0.06758138849053853
ENSMUST00000105287,0.05836402206902988,0.08297765188021324
ENSMUST00000053017,0.048717359891782226,0.07009812743592239
ENSMUST00000078880,0.06467333901851607,0.007103670487181335
ENSMUST00000081654,0.18706429352024545,0.23982040954299833
ENSMUST00000093944,0.3167574250997221,0.3989868444666091
ENSMUST00000000033,0.10502545226607912,0.07513479672744874
ENSMUST00000016231,0.41400953361759046,0.48277140796135026
ENSMUST00000018614,0.038254603591415484,0.03068395992969321
ENSMUST00000039987,0.1998464281812485,0.0728709820925593
ENSMUST00000087176,0.13894601888453645,0.04728314650349527
ENSMUST00000089215,0.01819539416254555,0.014279556435579604
