,withNA,noNA
ENSMUST00000028118,0.04650779360743054,0.11775606420457428
ENSMUST00000028280,0.1297697957699704,0.16241771187407347
ENSMUST00000030676,0.10418004583011269,0.06095131379195282
ENSMUST00000047328,0.1434394716930206,0.21038136740692595
ENSMUST00000057021,0.08918551912725282,0.23551833057910443
ENSMUST00000090697,0.0759541431988105,0.0763227222716402
ENSMUST00000091554,0.07909622535862212,0.03890964698207401
ENSMUST00000162772,0.0,0.043699255707610164
ENSMUST00000021284,0.16485988050172082,0.6337062915619512
ENSMUST00000022195,0.3080447216453961,0.49720370429698507
ENSMUST00000029876,0.5928770291788792,0.4103256823886305
ENSMUST00000030533,0.06032582789743209,0.2532855832136969
ENSMUST00000037974,0.043631903049966836,0.13157088504637396
ENSMUST00000058007,0.09839308237146248,0.32125862554886775
ENSMUST00000014777,0.04192785386029664,0.17113065407352474
ENSMUST00000023807,0.0655746675025774,0.06644623531634944
ENSMUST00000036060,0.09888498989078057,0.02705624022543409
ENSMUST00000123454,0.3000095492818092,0.25011764370063755
ENSMUST00000134921,0.10109697589858824,0.08819957724480468
ENSMUST00000155648,0.08618104671243443,0.09884044977736586
ENSMUST00000174661,0.12195202324742757,0.13779630832533524
ENSMUST00000203732,0.08826470504227739,0.23439491256800965
ENSMUST00000003754,0.025872253237016887,0.027353777867073208
ENSMUST00000021970,0.08145506137610943,0.06242704959168343
ENSMUST00000027991,0.07850022822203204,0.14366358841258395
ENSMUST00000032710,1.045166389503307,0.4350945114514754
ENSMUST00000038364,0.13600601575768534,0.011251365628008372
ENSMUST00000039135,0.23215434329296464,0.13200478996304219
ENSMUST00000044624,0.04489173340323448,0.06087031446690048
ENSMUST00000053768,0.11014618394948547,0.12500741386112071
ENSMUST00000064770,0.03180644419102871,0.024470661896464862
ENSMUST00000067444,0.30250976435090504,0.49619011651152195
ENSMUST00000068581,0.05767112304976513,0.005694197043847235
ENSMUST00000095360,0.1016212585269856,0.20648136940580433
ENSMUST00000097648,0.03601148625033298,0.02310887617088396
ENSMUST00000111656,0.02720153512274793,0.05173551271128692
ENSMUST00000112335,0.04889640704419443,0.20371810313240996
ENSMUST00000112706,0.03380955836426576,0.06602651005923549
ENSMUST00000112832,0.10532537127576538,0.14788104693471793
ENSMUST00000113438,0.04881618946610015,0.08649185936118094
ENSMUST00000130300,0.18036602558916065,0.09730747633588638
ENSMUST00000142742,0.2859912776879083,0.42894105196906207
ENSMUST00000174353,0.6230128829562586,0.434241980179801
ENSMUST00000196324,0.01766669466453453,0.03728515404095161
ENSMUST00000238946,0.14656457422481717,0.10073053688759624
ENSMUST00000001854,0.10943618461540516,0.155337308749455
ENSMUST00000003351,0.048478271019069014,0.20040441645661491
ENSMUST00000004076,0.1003866384740853,0.1564111030135116
ENSMUST00000005493,0.05816506558441627,0.06362337323674908
ENSMUST00000005860,0.08824740885483318,0.0563507886860089
ENSMUST00000017637,0.0683087020086353,0.2607017985082237
ENSMUST00000022013,0.05506018429147628,0.024673003239968027
ENSMUST00000027451,0.056544078669843366,0.04770922523563161
ENSMUST00000027467,0.14648136466212341,0.18541865087383763
ENSMUST00000029948,0.12062303682851379,0.122914893565071
ENSMUST00000034903,0.06890574260071429,0.07337878764080884
ENSMUST00000036019,0.11340374586161302,0.12528416292173272
ENSMUST00000036300,0.09086062444786516,0.06133876387951344
ENSMUST00000037623,0.020047374286965413,0.021659134857879066
ENSMUST00000038815,0.0815973739417934,0.19973507580188302
ENSMUST00000042744,0.6476133594835062,0.7194645131795814
ENSMUST00000044380,0.23631374432799476,0.30353708167583965
ENSMUST00000044828,0.3614821642210911,0.4730632337343871
ENSMUST00000045738,0.18643737448417957,0.46796393804395786
ENSMUST00000050958,0.22229382777693898,0.370660989144966
ENSMUST00000052907,0.16632044785154068,0.13373944456077774
ENSMUST00000053764,0.015451720191995455,0.16017791087136235
ENSMUST00000054351,0.08647204029308607,0.13909712529593557
ENSMUST00000054883,0.0455666587506354,0.07371711754803689
ENSMUST00000059562,0.03741884507015291,0.04712542219558385
ENSMUST00000062528,0.0013450716839359632,0.013970016720833409
ENSMUST00000063278,0.39468327199859005,0.10255169296699368
ENSMUST00000070748,0.059690862185336015,0.14743145854718037
ENSMUST00000077962,0.1822480794226176,0.09387823099591057
ENSMUST00000084615,0.058448463650028426,0.020351617324461595
ENSMUST00000093852,0.047284150741620956,0.055950342228242335
ENSMUST00000099151,0.048831380374194606,0.20215740923112477
ENSMUST00000107570,0.14133876384093663,0.277539563120719
ENSMUST00000109424,0.0837233170369422,0.14025037159008344
ENSMUST00000111063,0.03431944773559906,0.03961821645669382
ENSMUST00000111332,0.004664833705566133,0.025505227265177975
ENSMUST00000113453,0.07922728556788114,0.04978365003519731
ENSMUST00000119068,0.10871613774844102,0.1909217074227838
ENSMUST00000128904,0.04013420680259508,0.032525379762034984
ENSMUST00000139906,0.13856285667639684,0.31448156989822373
ENSMUST00000140626,0.3740723128293121,0.321437601380371
ENSMUST00000146497,0.17635365294459007,1.0271376908366496
