,withNA,noNA
ENSMUST00000028118,0.04736771480949782,0.2461628439855331
ENSMUST00000028280,0.19608008143771244,0.05049529022757339
ENSMUST00000030676,0.10894866546683009,0.06369766676262875
ENSMUST00000047328,0.39178872750439475,0.2935822433806179
ENSMUST00000057021,0.22389362639228316,0.08710939554943338
ENSMUST00000090697,0.053158932292749345,0.05463370293317475
ENSMUST00000091554,0.018291020203006117,0.010845836893727687
ENSMUST00000162772,0.0334319371909469,0.03791187563276094
ENSMUST00000021284,0.34373121849248167,0.1892543755195142
ENSMUST00000022195,0.03527602503311147,0.039873009146621674
ENSMUST00000029876,2.8514433332091436,3.6943476192807965
ENSMUST00000030533,0.03662005012865687,0.08348506085566199
ENSMUST00000037974,0.14316809483602327,0.13498595677021707
ENSMUST00000058007,0.13656894213685752,0.1214499114876476
ENSMUST00000014777,0.1260134532120765,0.0742408181004408
ENSMUST00000023807,0.25567751387956383,0.5602918758238011
ENSMUST00000036060,0.04765054954877927,0.0901410565002926
ENSMUST00000123454,0.2740179476351296,0.023477238514732737
ENSMUST00000134921,0.06809515114443258,0.14935283428759955
ENSMUST00000155648,0.012896206830450115,0.027684971492042056
ENSMUST00000174661,0.07958906986238402,0.1978424920603515
ENSMUST00000203732,0.0018660584248973466,0.026553454140918673
ENSMUST00000003754,0.17241911616127056,0.040511566463675916
ENSMUST00000021970,0.2987700343706119,0.32503728075147914
ENSMUST00000027991,0.03010041603578926,0.058125295182449424
ENSMUST00000032710,0.849641980584455,1.63574615927398
ENSMUST00000038364,0.03481378185658921,0.030770505630676615
ENSMUST00000039135,0.05154987031151363,0.03187594762346307
ENSMUST00000044624,0.12900352347723923,0.009727116655811708
ENSMUST00000053768,0.024659554777623754,0.0949887924609939
ENSMUST00000064770,0.012084346194667393,0.22433181539260064
ENSMUST00000067444,0.7096491833335065,0.39084878871953094
ENSMUST00000068581,0.09036787536903998,0.054956726839494256
ENSMUST00000095360,0.08204137330130329,0.037136476072215256
ENSMUST00000097648,0.07866383025174545,0.11062325742950181
ENSMUST00000111656,0.09863758892538484,0.052638410738088316
ENSMUST00000112335,0.09870234994658844,0.16119354930357865
ENSMUST00000112706,0.044074558131424864,0.07756590791264979
ENSMUST00000112832,0.07587110491363394,0.07222039630478315
ENSMUST00000113438,0.12894191006984682,0.030562265289783383
ENSMUST00000130300,0.15836362207678606,0.18797676598703747
ENSMUST00000142742,0.05601702511793116,0.09759658142608198
ENSMUST00000174353,0.5232990819388278,0.23008357060825813
ENSMUST00000196324,0.09667004330129962,0.017276469932052667
ENSMUST00000238946,0.5197637140503071,0.3914089370144442
ENSMUST00000001854,0.06473417484312524,0.04547099245908317
ENSMUST00000003351,0.08139140555633247,0.08851039215872379
ENSMUST00000004076,0.1782067285275963,0.06678363011842793
ENSMUST00000005493,0.17539695683136552,0.11196006318257343
ENSMUST00000005860,0.15355666903564766,0.2555164585798922
ENSMUST00000017637,0.06610855631478553,0.1202663697897519
ENSMUST00000022013,0.01831655377977393,0.03770457006455062
ENSMUST00000027451,0.015347039867865052,0.006660031256474957
ENSMUST00000027467,0.06891776695010564,0.12186914819926503
ENSMUST00000029948,0.1480266157501576,0.1458572263261223
ENSMUST00000034903,0.012506845958954398,0.0458174620602388
ENSMUST00000036019,0.18744693161159048,0.11995123218911903
ENSMUST00000036300,0.19248296296447362,0.2750243965958204
ENSMUST00000037623,0.06399077977871108,0.01453362102954932
ENSMUST00000038815,0.020085674669700244,0.06265788146459325
ENSMUST00000042744,0.39354225394271697,0.23341448804849316
ENSMUST00000044380,0.06998564743777994,0.04243345176125042
ENSMUST00000044828,0.2672686406529115,0.08444875773987849
ENSMUST00000045738,0.02312014603630554,0.022270666894426572
ENSMUST00000050958,0.12649824803796147,0.07118008978860263
ENSMUST00000052907,0.1979690723268011,0.08706929476614408
ENSMUST00000053764,0.04973068014508287,0.03267485363023779
ENSMUST00000054351,0.06546770088834934,0.07172225303627347
ENSMUST00000054883,0.08141493454934814,0.00751370103890331
ENSMUST00000059562,0.011368773531550656,0.07147288718837816
ENSMUST00000062528,0.04464734045185527,0.08826517413004092
ENSMUST00000063278,0.17951154521443266,0.15978268280540067
ENSMUST00000070748,0.14754221070240875,0.11898597271500613
ENSMUST00000077962,0.05828333539846968,0.06245560137260579
ENSMUST00000084615,0.0012802450229622935,0.014697748082209607
ENSMUST00000093852,0.09523039090550907,0.17896274438467882
ENSMUST00000099151,0.11630225107503712,0.12979208250498603
ENSMUST00000107570,0.04667869932308344,0.02520905202475896
ENSMUST00000109424,0.1563061883665855,0.018181974372857127
ENSMUST00000111063,0.3336170591561161,0.06198998845681658
ENSMUST00000111332,0.024751055137662712,0.06462842098100118
ENSMUST00000113453,0.06599697137832752,0.07243836397652255
ENSMUST00000119068,0.26737430438900284,0.2638489130871726
ENSMUST00000128904,0.019598703571148138,0.03909819349395322
ENSMUST00000139906,0.3498406355469272,0.4965357127284594
ENSMUST00000140626,0.6614752219195921,0.2769562945769662
ENSMUST00000146497,0.5165874305719718,0.6500470243241856
ENSMUST00000162899,0.08370217660302832,0.06526693782608188
ENSMUST00000167199,0.059329077332584634,0.057035682112460795
ENSMUST00000169470,0.07687015494496818,0.09665328994736808
ENSMUST00000176383,0.3310631528018587,0.0585790270750493
ENSMUST00000176438,0.038101990451992925,0.035803635484623154
ENSMUST00000184666,0.1496200795315925,0.15933399363311476
ENSMUST00000186458,0.20137019509650245,0.026313129674479338
ENSMUST00000191829,0.10743357009361548,0.2405406004848436
ENSMUST00000206034,0.12886617424061297,0.09699588134780257
ENSMUST00000219723,0.06928593181409384,0.02397282725340903
ENSMUST00000234410,0.05149167826878945,0.20151383111200347
ENSMUST00000028689,0.15364704053477413,0.2463553667573383
ENSMUST00000044278,0.19535961406280264,0.03405354826983235
ENSMUST00000159359,0.06268636241513213,0.027354419966649626
ENSMUST00000160777,0.11124549388050804,0.07124991134427286
ENSMUST00000210209,0.3256747581176428,0.23312170984375288
ENSMUST00000060125,0.04546942853028003,0.07654399975992529
ENSMUST00000061601,0.11874436547454645,0.11810313247788844
ENSMUST00000095784,0.06792112896179159,0.052640253709134006
ENSMUST00000109191,0.08670721440611794,0.12313732457920522
ENSMUST00000139064,0.15947123032012048,0.12768191158253606
ENSMUST00000189828,0.14218081377669997,0.03130188002489856
ENSMUST00000022246,0.038961153746018794,0.047339587456923925
ENSMUST00000035471,0.07909886072439007,0.09986389894195273
ENSMUST00000058714,0.19954529455839645,0.14404618801919883
ENSMUST00000063918,0.1498483629859243,0.16124603268520235
ENSMUST00000105287,0.1454732907009089,0.16201537127271343
ENSMUST00000053017,0.2754948341943824,0.38751995401701655
ENSMUST00000078880,0.013563953782244667,0.12599795627772747
ENSMUST00000081654,0.11200697018730758,0.05523687384453431
ENSMUST00000093944,0.14790019908665422,0.200905892614624
ENSMUST00000000033,0.20437147955091303,0.08587548822135543
ENSMUST00000016231,0.00671070000600936,0.03538774716069972
ENSMUST00000018614,0.3609270446441311,0.10395210402738046
ENSMUST00000039987,0.6408412241635711,0.5440777206299685
ENSMUST00000087176,0.139493411597374,0.1927807087894529
ENSMUST00000089215,0.03874691335960811,0.05000827156628665
ENSMUST00000169486,0.03888900160581873,0.11038070572707313
ENSMUST00000175898,0.04796280919360687,0.08897905957730873
ENSMUST00000176161,0.1640700813213849,0.2551964994794463
ENSMUST00000028389,0.03992215076036409,0.07472540957343704
ENSMUST00000032902,0.31693429432476167,0.31306142190922615
ENSMUST00000049272,0.10750768713904969,0.1742236707134605
ENSMUST00000050519,0.11593495386920417,0.07278392108833673
ENSMUST00000090473,0.25533574941852816,0.07927837610563974
ENSMUST00000109621,1.922686018021559,1.6867069698867834
ENSMUST00000114904,0.07662189705459986,0.308738845950776
ENSMUST00000096012,0.1772993223292603,0.22412521967819105
ENSMUST00000173539,0.2466738745248286,0.08897309974034677
ENSMUST00000228307,0.05169424492920133,0.10234729760820611
ENSMUST00000230532,0.06600979959859232,0.08787186058306415
