,withNA,noNA
ENSMUST00000028118,0.07022151186026651,0.06118369059326391
ENSMUST00000028280,0.016820234937325224,0.21791400370774044
ENSMUST00000030676,0.04398618588217395,0.04026054435165465
ENSMUST00000047328,0.48950847318835766,0.388167570158371
ENSMUST00000057021,0.18922910973727328,0.22232470943559615
ENSMUST00000090697,1.6297257064998603,1.8509409748044074
ENSMUST00000091554,0.07472243071722076,0.1068128764054403
ENSMUST00000162772,0.03343074245800315,0.034210859889613386
ENSMUST00000021284,0.2211341288805304,0.22323185357417757
ENSMUST00000022195,0.10071910013139203,0.12022803246083466
ENSMUST00000029876,0.08099734650904117,0.1516225346658818
ENSMUST00000030533,0.08828691517231983,0.1782486558902016
ENSMUST00000037974,0.04859420338353561,0.0
ENSMUST00000058007,0.06585215979555559,0.2240815301276036
ENSMUST00000014777,0.04761196381588777,0.06208220231518777
ENSMUST00000023807,0.29493606557291957,0.09284845973698008
ENSMUST00000036060,0.2967818128962508,0.14474650764479946
ENSMUST00000123454,0.0502351042233924,0.03601404649888874
ENSMUST00000134921,0.07262572703794001,0.22387780484869568
ENSMUST00000155648,0.05848686553273559,0.04343887480483888
ENSMUST00000174661,0.1389591920927507,0.1468604803974329
ENSMUST00000203732,0.07168592889552215,0.06401783079523501
ENSMUST00000003754,0.08487604164497363,0.0810391842840633
ENSMUST00000021970,0.02862092231717555,0.21888671158959572
ENSMUST00000027991,0.005062854663715036,0.0915485408689757
ENSMUST00000032710,0.5922101104249294,0.6895357245323658
ENSMUST00000038364,0.37116856600633963,0.46803076171661206
ENSMUST00000039135,0.1355811538241466,0.09002082201564376
ENSMUST00000044624,0.15711829164210603,0.09707733651171328
ENSMUST00000053768,0.21993627625508705,0.29045816402708335
ENSMUST00000064770,0.20130762871194186,0.13443310714014428
ENSMUST00000067444,0.2887914627472641,0.1558768692336172
ENSMUST00000068581,0.048808687811049106,0.059961558833667175
ENSMUST00000095360,0.018372010003673462,0.049684447199141724
ENSMUST00000097648,0.14979539465127653,0.04531262773091127
ENSMUST00000111656,0.0833100866978387,0.046636683083681844
ENSMUST00000112335,0.20983736644446413,0.1873244171732033
ENSMUST00000112706,0.08535367658507306,0.05075032227886622
ENSMUST00000112832,0.09529634671790845,0.3263518936005264
ENSMUST00000113438,0.1004168684820195,0.07675146765661128
ENSMUST00000130300,0.23531949229855323,0.14109414289030608
ENSMUST00000142742,0.1489101154519518,0.2607316630054676
ENSMUST00000174353,0.3221111301904345,0.33685135941961586
ENSMUST00000196324,0.04082064362162981,0.04738136972997211
ENSMUST00000238946,0.24027163617843597,0.36700445537516024
ENSMUST00000001854,0.3130225254441933,0.3839100127859995
ENSMUST00000003351,0.19203208100750965,0.2816547713964168
ENSMUST00000004076,0.24761088617904176,0.04673773021213807
ENSMUST00000005493,1.6203712698653172,0.6473786612535752
ENSMUST00000005860,0.08024975845751195,0.08543096016642841
ENSMUST00000017637,0.06950392680749677,0.10493082167236584
ENSMUST00000022013,0.011197889403447044,0.040400627573145
ENSMUST00000027451,0.08509053515074978,0.05428886476037283
ENSMUST00000027467,0.07853374916956686,0.10030992081510741
ENSMUST00000029948,0.21307132911698823,0.18038579351369707
ENSMUST00000034903,0.04229132199463674,0.2839555073804079
ENSMUST00000036019,0.07497711984217788,0.16130518332556337
ENSMUST00000036300,0.03160838522184805,0.12182002976584964
ENSMUST00000037623,0.05554404666489252,0.07344194812473198
ENSMUST00000038815,0.1430751459733019,0.19065507436457413
ENSMUST00000042744,0.6166681512299252,0.8526777671762876
ENSMUST00000044380,0.21128538199922775,0.1425482991864657
ENSMUST00000044828,0.184063347382098,0.2536750791055051
ENSMUST00000045738,0.1485266822847693,0.09170576044336734
ENSMUST00000050958,0.5365030667926202,0.4781947977286016
ENSMUST00000052907,0.5393553574425491,0.534373290461416
ENSMUST00000053764,0.042039296786540795,0.1375150795077402
ENSMUST00000054351,0.19527671372171185,0.25966208588719214
ENSMUST00000054883,0.05379550371701078,0.012830314308918173
ENSMUST00000059562,0.04524290978819857,0.08958604440670727
ENSMUST00000062528,0.0757577415251175,0.1822070320946279
ENSMUST00000063278,0.04244463597264991,0.01948594533094375
ENSMUST00000070748,0.10411518369865204,0.0429952446956799
ENSMUST00000077962,0.03182648398391703,0.45098640750178226
ENSMUST00000084615,0.09495449218706215,0.18160382907298483
ENSMUST00000093852,0.026519384222323434,0.03706154078050201
ENSMUST00000099151,0.1434677603945698,0.21734926943300892
ENSMUST00000107570,0.039360442971878476,0.18146639858311608
ENSMUST00000109424,0.07524691147447747,0.20907684514967456
ENSMUST00000111063,0.023032495028493,0.06513749275488638
ENSMUST00000111332,0.05861354395414174,0.05235837229486049
ENSMUST00000113453,0.6920352529023699,0.13155736636093182
ENSMUST00000119068,0.052339694541707595,0.04136116591189671
ENSMUST00000128904,1.577360374254723,2.4473565825214196
ENSMUST00000139906,0.2537174029779001,0.2989311154124913
ENSMUST00000140626,0.3047630739430898,0.5715390894489856
ENSMUST00000146497,1.0370560622707057,0.6239611569913707
ENSMUST00000162899,0.19086421430220302,0.11761156545694515
ENSMUST00000167199,0.17121028656355633,0.11433545101606295
ENSMUST00000169470,0.21536922881406761,0.5129558342902846
ENSMUST00000176383,0.25571360476238386,0.18508443912917633
ENSMUST00000176438,0.033618799903359316,0.06675961378121405
ENSMUST00000184666,0.2320666908603447,0.21044723949124686
ENSMUST00000186458,0.22646537857917431,0.2388350188397629
ENSMUST00000191829,0.06459207268280184,0.06312543599728854
ENSMUST00000206034,0.19895555208843255,0.2715018116466878
ENSMUST00000219723,0.1329990587780126,0.047518189864455704
ENSMUST00000234410,0.030262339652924748,0.038659349880284945
ENSMUST00000028689,0.2702185180128707,0.26578031392758544
ENSMUST00000044278,0.05959023275041975,0.020018115028926232
ENSMUST00000159359,0.031116179919656473,0.10554176000014945
ENSMUST00000160777,0.046590293274605385,0.048890896623015795
ENSMUST00000210209,0.20339418641004542,0.1640140833892504
ENSMUST00000060125,0.03814514417379027,0.11998051311401825
ENSMUST00000061601,0.15473159184656848,0.13178637961605574
ENSMUST00000095784,0.3280621912042692,0.10845965881722491
ENSMUST00000109191,0.14925861013386527,0.1263802102832301
ENSMUST00000139064,0.6566033652374691,0.5933775503789588
ENSMUST00000189828,0.07320555082557262,0.17662277085233577
ENSMUST00000022246,0.03907658810422297,0.05795229743113454
ENSMUST00000035471,0.1206176772892805,0.15993711593022683
ENSMUST00000058714,0.2171608893118049,0.06379581226500217
ENSMUST00000063918,0.024115718070875546,0.18914801367842113
ENSMUST00000105287,0.08832400198371948,0.237773036317841
ENSMUST00000053017,0.0724776285838144,0.35578836620249593
ENSMUST00000078880,0.004870892328562865,0.03449917909071271
ENSMUST00000081654,0.18806795335009524,0.21807296273623966
ENSMUST00000093944,0.29314710960899887,0.3412942750439502
ENSMUST00000000033,0.27420144756191517,0.28433025604709583
