,withNA,noNA
ENSMUST00000028118,0.05335496668087691,0.00614055636604854
ENSMUST00000028280,0.01700290271114995,0.186595145459747
ENSMUST00000030676,0.3561249753416762,0.06740661129402181
ENSMUST00000047328,0.0419571273313135,0.07755747203945723
ENSMUST00000057021,0.07435608212673067,0.05310397208351211
ENSMUST00000090697,0.08874609820648208,0.2868229325210523
ENSMUST00000091554,0.026909502644756906,0.012784573969783207
ENSMUST00000162772,0.012130134599092348,0.01065768964101417
ENSMUST00000021284,0.5403403174716098,0.8708994935568829
ENSMUST00000022195,0.03549340737395944,0.05816892648283279
ENSMUST00000029876,0.44602324179528735,0.7134344025344818
ENSMUST00000030533,0.06676585902904128,0.11037427366204326
ENSMUST00000037974,0.006378118428122684,0.0062765114195178955
ENSMUST00000058007,0.06882880774781687,0.026209402913791237
ENSMUST00000014777,0.01569396490376675,0.07392769780581583
ENSMUST00000023807,0.032558121962313155,0.26462834988770684
ENSMUST00000036060,0.12149567521217579,0.08279192758604875
ENSMUST00000123454,0.574289033662,0.534754284053241
ENSMUST00000134921,0.020093961533545732,0.02259897266757878
ENSMUST00000155648,0.025746655157125053,0.029812814313018986
ENSMUST00000174661,0.1587183491887472,0.052541783616570664
ENSMUST00000203732,0.014736712153443323,0.0673427649580628
ENSMUST00000003754,0.03973100224060736,0.13469855808139608
ENSMUST00000021970,0.09285247302174737,0.022085463484548762
ENSMUST00000027991,0.015410565986160644,0.04000913455176896
ENSMUST00000032710,0.23347556168971656,0.08906043407077963
ENSMUST00000038364,0.0280943867171346,0.013438494498838317
ENSMUST00000039135,0.2148076649398266,1.1812312315283195
ENSMUST00000044624,0.014517347681016332,0.013885846005287994
ENSMUST00000053768,0.019960698995401732,0.07111279228998146
ENSMUST00000064770,0.01157809296015958,0.08086651218220914
ENSMUST00000067444,0.10604452033615655,0.04929248056053744
ENSMUST00000068581,0.025986996819975437,0.03710149893419982
ENSMUST00000095360,0.10568516816851219,0.15346201700487488
ENSMUST00000097648,0.008492561411668549,0.02038376881465986
ENSMUST00000111656,0.04536034507452155,0.021325956584328898
ENSMUST00000112335,0.02340641513755037,0.07202303996056363
ENSMUST00000112706,0.04487787916063474,0.4671330722264627
ENSMUST00000112832,0.05277883000848614,0.05813932145970135
ENSMUST00000113438,0.021519264536571558,0.02828434952317738
ENSMUST00000130300,0.06614303595479935,0.013976588058306358
ENSMUST00000142742,0.01611232068264185,0.024816271900065093
ENSMUST00000174353,0.8214272339028541,0.48610938163084605
ENSMUST00000196324,0.008603572061995881,0.014835484930913892
ENSMUST00000238946,0.16304599922422108,0.07744730111703678
ENSMUST00000001854,0.03749345094374763,0.09145782520296297
ENSMUST00000003351,0.12993740202207663,0.036572314403214096
ENSMUST00000004076,0.0626358057011399,0.08766257937406975
ENSMUST00000005493,0.03871419858730192,0.09698699177574543
