,withNA,noNA
ENSMUST00000028118,0.08271340601995628,0.3925111922330163
ENSMUST00000028280,0.07606255401432511,0.11789294439512203
ENSMUST00000030676,0.17722979983643122,0.047501140111771346
ENSMUST00000047328,0.13605275179030663,0.02766093937875702
ENSMUST00000057021,0.2750567770865742,0.05273100858620422
ENSMUST00000090697,0.21595980529473002,0.030084868722275084
ENSMUST00000091554,0.20603656921474228,0.07065254161777117
ENSMUST00000162772,0.023560521751747162,0.4159343804036386
ENSMUST00000021284,0.1270508140407653,0.31186037605083516
ENSMUST00000022195,0.04930314359175404,0.09847464257722509
ENSMUST00000029876,0.3381808100277456,0.1779718753293541
ENSMUST00000030533,0.14620522295485053,0.18606585387667404
ENSMUST00000037974,0.04758540484234195,0.16501076365206654
ENSMUST00000058007,0.18131601279966839,0.0668832518949165
ENSMUST00000014777,0.08637259805568112,0.19478690011061892
ENSMUST00000023807,0.1659543167805118,0.03864437681671213
ENSMUST00000036060,0.03548058231602625,0.5279784068736144
ENSMUST00000123454,0.2480122813621571,0.2797969708980486
ENSMUST00000134921,0.09097939712716353,0.1693719697260775
ENSMUST00000155648,0.09029331561702998,0.06200964064582454
ENSMUST00000174661,0.08124488321455335,0.06925677234370457
ENSMUST00000203732,0.17611265291552297,0.1504148461531517
ENSMUST00000003754,0.08667023306616309,0.11015934109125226
ENSMUST00000021970,0.16989750120906857,0.06632999527649883
ENSMUST00000027991,0.058183713620074434,0.1454948005913707
ENSMUST00000032710,0.08274855784988733,0.08176394823217642
ENSMUST00000038364,0.025464990246487313,0.15463170301208323
ENSMUST00000039135,0.35801786366639915,0.1294611599702253
ENSMUST00000044624,0.022392046417437826,0.032490965993066355
ENSMUST00000053768,0.04321943028541215,0.026386852964864864
ENSMUST00000064770,0.09896500914304127,0.03744640749288695
ENSMUST00000067444,0.06267191583301271,0.4981222612826807
ENSMUST00000068581,0.03373208535426121,0.11335390780749831
ENSMUST00000095360,0.09084169082094037,0.1966210499597058
ENSMUST00000097648,0.17151972516726127,0.08653061755293712
ENSMUST00000111656,0.028674909734196136,0.07558467070442859
ENSMUST00000112335,0.1239092660152948,0.6263536721033591
ENSMUST00000112706,0.07818297190781927,0.04802536718060111
ENSMUST00000112832,0.08983851121742739,0.10754848551342786
ENSMUST00000113438,0.11636818712588962,0.09063330327039458
ENSMUST00000130300,0.11680481906874822,0.11403979342575768
ENSMUST00000142742,0.14915276680519066,0.1524014777407665
ENSMUST00000174353,0.33469486504471585,0.09321296430242541
ENSMUST00000196324,0.3469733541018001,0.010788986074659423
ENSMUST00000238946,0.3771214959797872,0.4168146440522779
ENSMUST00000001854,0.14982967271924166,0.47763997514184187
ENSMUST00000003351,0.036676275839603284,0.20168303640656116
ENSMUST00000004076,0.0077525450331846655,0.02429638780408866
ENSMUST00000005493,0.04090593513182973,1.1790183230462299
ENSMUST00000005860,0.15799823157405637,0.2752338155611572
ENSMUST00000017637,0.013765474492217948,0.8371345263802457
ENSMUST00000022013,0.06806236138602269,0.11058781341469125
ENSMUST00000027451,0.025142527988877113,0.007748813144915721
ENSMUST00000027467,0.11918339798877566,0.12083660890663277
ENSMUST00000029948,0.1128486944814802,0.12886931415152325
ENSMUST00000034903,0.036787785998663475,0.08011144601707232
ENSMUST00000036019,0.09806970489836192,0.053860090767784315
ENSMUST00000036300,0.22052970123038607,0.24984951724063942
ENSMUST00000037623,0.011746186981557025,0.015482678025569505
ENSMUST00000038815,0.07797244596905646,0.11701793240837731
ENSMUST00000042744,1.084425942656175,0.1718765620803239
