,withNA,noNA
ENSMUST00000028118,0.017422188769451757,0.0925943928393829
ENSMUST00000028280,0.2653895465498611,0.08401348038556537
ENSMUST00000030676,0.047497485358023755,0.10203468968392078
ENSMUST00000047328,0.1760337121745691,0.7011287925704343
ENSMUST00000057021,0.06265133858572682,0.12913579843012818
ENSMUST00000090697,0.01741403339087546,0.06540779729875641
ENSMUST00000091554,0.007211749053540108,0.030962337323627798
ENSMUST00000162772,0.05517748146451379,0.4333968803325779
ENSMUST00000021284,0.36715614974601285,0.172661617923464
ENSMUST00000022195,0.03179030910532213,0.061083581973941016
ENSMUST00000029876,3.4688204687521442,4.042199750409949
ENSMUST00000030533,0.03655724786617463,0.040173476660416894
ENSMUST00000037974,0.0625580803605231,0.05279800087357716
ENSMUST00000058007,0.309111896053969,0.22376044355843672
ENSMUST00000014777,0.032857326825107,0.31656664054080424
ENSMUST00000023807,0.27790151948857506,0.2579162534777336
ENSMUST00000036060,0.07874870774641154,0.03718568957001898
ENSMUST00000123454,0.24319338612596125,0.17139601237802973
ENSMUST00000134921,0.07795134770029925,0.15119627866535412
ENSMUST00000155648,0.3674543289127685,0.035534755385395404
ENSMUST00000174661,0.02480042134687643,0.0323485648917746
ENSMUST00000203732,0.034248520316258496,0.015480910557288563
ENSMUST00000003754,0.06233926263798948,0.035740472871941695
ENSMUST00000021970,0.13978790054566279,0.23346905574454227
ENSMUST00000027991,0.03978112867017088,0.022022775571738373
ENSMUST00000032710,0.8000701066775139,1.3466846206932488
ENSMUST00000038364,0.020288574256292914,0.05835490717816657
ENSMUST00000039135,0.07739383205999056,0.011237441016006284
ENSMUST00000044624,0.10964338009369057,0.08899071492138622
ENSMUST00000053768,0.14182168104503481,0.09468628205194
ENSMUST00000064770,0.03305449775606701,0.08236713190717247
ENSMUST00000067444,0.3180365993690142,0.6656830628250193
ENSMUST00000068581,0.2524306573801637,0.029690430912165538
ENSMUST00000095360,0.03527045686164717,0.08782292942217644
ENSMUST00000097648,0.025920753164915673,0.046001370651468296
ENSMUST00000111656,0.10748670517748266,0.058736794444187855
ENSMUST00000112335,0.0998244033103057,0.06219636349951503
ENSMUST00000112706,0.27156919683056785,0.050535431318561495
ENSMUST00000112832,0.06729118466845288,0.0483771906833396
ENSMUST00000113438,0.5597269580550045,0.038981247541379334
ENSMUST00000130300,0.10362431318061982,0.10184813274309718
ENSMUST00000142742,0.7057701272043246,0.03196755419825687
ENSMUST00000174353,0.6987028211651036,0.42157533323528423
ENSMUST00000196324,0.07035265920832749,0.10046582970117766
ENSMUST00000238946,0.14568405172370394,0.39281292887413405
ENSMUST00000001854,0.08852877921725036,0.011810189471412134
ENSMUST00000003351,0.03654042544722913,0.0567389716708875
ENSMUST00000004076,0.09088393323641326,0.1693657228567146
ENSMUST00000005493,0.08987570032606972,0.1822863750549767
ENSMUST00000005860,0.018452879840042798,0.4988813058043663
ENSMUST00000017637,0.034526428117442026,0.1090400504939627
ENSMUST00000022013,0.033499325829093964,0.0650033620219262
ENSMUST00000027451,0.031345963855290655,0.03801583632548773
ENSMUST00000027467,0.2597467585856985,0.11449279466141722
ENSMUST00000029948,0.24140927619722224,0.18717516342242418
ENSMUST00000034903,0.01777283768061518,0.08274413617510176
ENSMUST00000036019,0.10255409292825902,0.09002801432326198
ENSMUST00000036300,0.4154393731686595,0.31792030765162593
ENSMUST00000037623,0.027769749812671374,0.012366830265578627
ENSMUST00000038815,0.02155224664265505,0.16753988605598685
ENSMUST00000042744,0.23116317263141747,0.6761967030772463
ENSMUST00000044380,0.02187214101905784,0.10092133418707404
ENSMUST00000044828,0.1258651791667163,0.0479526422950777
ENSMUST00000045738,0.20344054668316863,0.1753219235995667
ENSMUST00000050958,0.08487026675160349,0.11417594217743905
ENSMUST00000052907,0.1492622886775601,0.283919480202488
