,withNA,noNA
ENSMUST00000028118,0.1083363435769888,0.11433213582279882
ENSMUST00000028280,0.040160812797757545,0.3435721549564357
ENSMUST00000030676,0.01798728491538804,0.043748052137873486
ENSMUST00000047328,0.1318817832425617,0.0744959339458642
ENSMUST00000057021,0.043898310404423664,0.09139278733854164
ENSMUST00000090697,0.3307239644240619,0.22163595652262347
ENSMUST00000091554,0.02113737635345641,0.05431925966338335
ENSMUST00000162772,0.6474652656305437,1.1832741526691972
ENSMUST00000021284,0.06154404239187009,0.09643504657265686
ENSMUST00000022195,0.07064965654514238,0.07218139253260125
ENSMUST00000029876,0.42417590913667885,0.09932861968687567
ENSMUST00000030533,0.05044928850497334,0.032982596617121406
ENSMUST00000037974,0.03812524569944502,0.07476489840481713
ENSMUST00000058007,0.04475955361194832,0.06324983558778088
ENSMUST00000014777,0.05126308043489408,0.06845584164218912
ENSMUST00000023807,0.20719844864392395,0.13897445781689377
ENSMUST00000036060,0.05987218869228981,0.05081437921954686
ENSMUST00000123454,0.005331349011911773,0.00796902091153878
ENSMUST00000134921,0.09429438695839303,0.03784545343216478
ENSMUST00000155648,0.011709073654948915,0.020165137627707507
ENSMUST00000174661,0.04380887977035782,0.10781876858645258
ENSMUST00000203732,0.3782114205231129,0.8772169169911113
ENSMUST00000003754,0.1219762261251222,0.1026355467723773
ENSMUST00000021970,0.09652533665625215,0.060530901320978256
ENSMUST00000027991,0.024828621408733716,0.05080497148358049
ENSMUST00000032710,0.06169067061628093,0.05522419329141957
ENSMUST00000038364,0.06834760717030329,0.010244653229329808
ENSMUST00000039135,0.06901416446707928,0.0779386112560241
ENSMUST00000044624,0.008999461730264648,0.015491859325285663
ENSMUST00000053768,0.266929941918143,0.1705776545293981
ENSMUST00000064770,0.03941851254759715,0.08491810292914811
ENSMUST00000067444,0.18809966113169077,0.09766687713595978
ENSMUST00000068581,0.12197524376917432,0.05455275707349141
ENSMUST00000095360,0.07518938344226468,0.08386499884353396
ENSMUST00000097648,0.018828848437566534,0.011250630241190478
ENSMUST00000111656,0.024504293810456945,0.01140097537347195
ENSMUST00000112335,0.04589601103558474,0.09893623318158012
ENSMUST00000112706,0.04636111235230807,0.013562775109553676
ENSMUST00000112832,0.13023511371257734,0.016765730866782066
ENSMUST00000113438,0.035323515168475705,0.11738808935285494
ENSMUST00000130300,0.05237751911872945,0.09452587822395071
