,withNA,noNA
ENSMUST00000028118,0.03668821154352823,0.040801437249869676
ENSMUST00000028280,0.07739383516006691,0.027587796963808527
ENSMUST00000030676,0.06009721923318434,0.22089285023955577
ENSMUST00000047328,0.09320310816327322,0.07264384034666463
ENSMUST00000057021,0.06487901353647736,0.10337859784532387
ENSMUST00000090697,0.008335340441547157,0.04343370752436599
ENSMUST00000091554,0.011777008469806024,0.05632849221331404
ENSMUST00000162772,0.048293240475084744,0.4829036394362122
ENSMUST00000021284,0.06441833775922179,0.48468317876372863
ENSMUST00000022195,0.5985014150214487,0.05216769149723265
ENSMUST00000029876,0.39212519813942814,0.30086319668698663
ENSMUST00000030533,0.008760160989853414,0.06705409352469167
ENSMUST00000037974,0.042985133202850814,0.14451004657164646
ENSMUST00000058007,0.19796763519855215,0.12294794498236636
ENSMUST00000014777,0.04268995564737188,0.151988513067797
ENSMUST00000023807,0.11600999987066549,0.010867157533158783
ENSMUST00000036060,0.2900956581845045,0.051529724482707706
ENSMUST00000123454,0.0029876935747017333,0.4583067776690469
ENSMUST00000134921,0.0830284874384308,0.04971872085092191
ENSMUST00000155648,0.0536475581436495,0.11141748182129527
ENSMUST00000174661,0.1168324091221964,0.06230661675591036
ENSMUST00000203732,0.03173132236227846,0.10963981168478486
ENSMUST00000003754,0.003438731935783513,0.0224665136087049
ENSMUST00000021970,0.06898396961447448,0.1617660022105932
ENSMUST00000027991,0.015090300518072638,0.10923208334970029
ENSMUST00000032710,0.024730223751203553,0.020737318032080985
ENSMUST00000038364,0.08932436963913563,0.0623619024972931
ENSMUST00000039135,0.05768663615162771,0.11537233242407205
ENSMUST00000044624,0.031735042904518125,0.05638691796729999
ENSMUST00000053768,0.04200594320374207,0.008966096503466213
ENSMUST00000064770,0.06093236521641022,0.15515403707867428
ENSMUST00000067444,0.3072117936465155,0.06584752558100575
ENSMUST00000068581,0.05156102746795702,0.09024905666296841
ENSMUST00000095360,0.10854525404269118,0.08844957728856086
ENSMUST00000097648,0.06090036782964153,0.07598339373475084
ENSMUST00000111656,0.01946452739791085,0.05506902312564029
ENSMUST00000112335,0.10553037278383923,0.2031223582605967
ENSMUST00000112706,0.02599307850122121,0.08161783998069295
ENSMUST00000112832,0.10473387961059959,0.07617327072944152
ENSMUST00000113438,0.2405950973301809,0.09378138497159268
ENSMUST00000130300,0.08293544438951518,0.06535635172952275
ENSMUST00000142742,0.0201218530509541,0.03581933120257844
ENSMUST00000174353,0.47175872439316885,0.8833786463104115
ENSMUST00000196324,0.018114270384420646,0.1370936054180136
ENSMUST00000238946,0.07314821693122754,0.34058030523723265
ENSMUST00000001854,0.03104946812366636,0.026798253445958358
ENSMUST00000003351,0.045619961690686994,0.11968097893997191
ENSMUST00000004076,0.12842739966289887,0.022941132146378614
ENSMUST00000005493,0.18901215150104436,0.5387908628190065
ENSMUST00000005860,0.13000172614959346,0.23871815136450317
ENSMUST00000017637,0.020076137578628184,0.05497047806203217
ENSMUST00000022013,0.040669628408378726,0.01843440750736219
ENSMUST00000027451,0.03347306266536225,0.02863679756442626
ENSMUST00000027467,0.030427434343587717,0.3473823424261178
ENSMUST00000029948,0.052428732856972776,0.0690438869897011
ENSMUST00000034903,0.030146931743133317,0.02776741039925394
ENSMUST00000036019,1.1104253250710563,0.2438762914334299
ENSMUST00000036300,0.11930075757171368,0.32013534521915954
ENSMUST00000037623,0.018128141459616262,0.03270398413241889
ENSMUST00000038815,0.07518608855894048,0.13269818221764199
ENSMUST00000042744,0.27581025534383274,0.12001759605843891
ENSMUST00000044380,0.23108341525244347,0.22366049973939953
ENSMUST00000044828,0.09749058518761554,0.022562430756992696
ENSMUST00000045738,0.08660423050647899,0.03366707733095691
ENSMUST00000050958,0.08092620583051154,0.05096491468088239
ENSMUST00000052907,0.05351660519694606,0.05948815035552812
ENSMUST00000053764,0.05160985954073638,0.09055989623251501
ENSMUST00000054351,0.08860493921322808,0.2527041033846718
ENSMUST00000054883,0.04475769469655799,0.15218470393310243
ENSMUST00000059562,0.024034438153015744,0.06472121514499032
ENSMUST00000062528,0.009481542478294459,0.06251748668622222
ENSMUST00000063278,0.07708255793981117,0.13764641786871148
ENSMUST00000070748,0.6609802073416067,0.17332494561896025
ENSMUST00000077962,0.053490726993354866,0.11686637199684553
ENSMUST00000084615,0.051033477209652976,0.03786943118642644
ENSMUST00000093852,0.04562101758492304,0.02224205370587942
ENSMUST00000099151,0.19605129672283664,0.15787060797980235
ENSMUST00000107570,0.06815916014998974,0.06440309998191024
ENSMUST00000109424,0.3636040071362373,0.4558129784368404
ENSMUST00000111063,0.014608239496552669,0.11000480148076358
ENSMUST00000111332,0.1294417939179862,0.06149061244397536
ENSMUST00000113453,0.071133867061528,0.046528402331913535
ENSMUST00000119068,0.0018935589148082518,0.04702549496320804
ENSMUST00000128904,0.025904698081295377,0.07804888746384096
ENSMUST00000139906,0.35945072819657675,0.3745957100350184
ENSMUST00000140626,0.1221254809015335,0.6545536764826664
ENSMUST00000146497,0.18007418911511544,0.15558611386350124
ENSMUST00000162899,0.04685613857029548,0.04097289602243362
ENSMUST00000167199,0.09261321201970894,0.1178739901725396
ENSMUST00000169470,0.0,0.014805796489652894
ENSMUST00000176383,0.3022403124108698,0.31231626465813533
ENSMUST00000176438,0.05175783775768136,0.03714889951445623
ENSMUST00000184666,0.25315102727544253,0.9824903878063624
ENSMUST00000186458,0.09436883948285005,0.1879658810594433
ENSMUST00000191829,0.012148688194566219,0.03703518146979322
ENSMUST00000206034,0.36753821542098764,0.13927233114287282
ENSMUST00000219723,0.2609768833388361,0.040755616435519455
ENSMUST00000234410,0.04578294207380998,0.03426684999265967
ENSMUST00000028689,0.07475975707066057,0.07253000028115239
ENSMUST00000044278,0.17678514614283208,0.14601395954490354
ENSMUST00000159359,0.0476815531692219,0.0392073756301086
ENSMUST00000160777,0.07809378897346282,0.04598797135168625
ENSMUST00000210209,0.24697003786125676,0.23397705786730122
ENSMUST00000060125,0.4068491580120308,0.36420443785299816
ENSMUST00000061601,0.05145842122395631,0.09126690700053482
ENSMUST00000095784,1.2791982731793108,0.8488562170315185
ENSMUST00000109191,0.08861596479299984,0.12209357579398117
ENSMUST00000139064,0.14890294340165508,0.0606143743358626
ENSMUST00000189828,1.2833526202363783,1.0881681947269175
ENSMUST00000022246,0.12185033881744485,0.12721482992779715
ENSMUST00000035471,0.10504967495214466,0.18460158151491238
ENSMUST00000058714,0.035806552402214656,0.08038462402856669
ENSMUST00000063918,0.0865568149205287,0.06845907796810784
ENSMUST00000105287,0.08368931189898385,0.11739519419931603
ENSMUST00000053017,0.1331949758877126,0.12080375401098536
ENSMUST00000078880,0.036424880108246696,0.07349464230551943
ENSMUST00000081654,0.07931159514331623,0.02691375421117419
ENSMUST00000093944,0.040276010040209274,0.07850949612057968
ENSMUST00000000033,0.09181280938382926,0.112641375197563
ENSMUST00000016231,0.10159935706651779,0.04338814547771219
ENSMUST00000018614,0.016688636760622252,0.0087584244408591
ENSMUST00000039987,1.87023941632963,1.2648083489594173
ENSMUST00000087176,0.39507659781587295,0.14980581159431391
ENSMUST00000089215,0.0076361791867240155,0.024811090499030342
ENSMUST00000169486,0.009437153065151051,0.020957970220855805
ENSMUST00000175898,0.08553171249879803,0.0714973423676808
ENSMUST00000176161,0.14222754200090057,0.06816427051284556
ENSMUST00000028389,0.04463003828406287,0.03246475492267037
ENSMUST00000032902,0.19372709568514357,0.16001741793947788
ENSMUST00000049272,0.1129789957545357,0.17189174856278788
ENSMUST00000050519,0.06002010788417112,0.09695270783032812
ENSMUST00000090473,0.03966830617795948,0.03659581849461351
ENSMUST00000109621,0.46346181931360025,0.16293110776075254
ENSMUST00000114904,0.0474219107462144,0.07073457877743702
ENSMUST00000096012,0.05736312047919104,0.05516596285848177
ENSMUST00000173539,0.2906417287777941,0.048622464339442506
ENSMUST00000228307,0.08295280148743385,0.12537595557700154
ENSMUST00000230532,1.0713219216793477,0.13326113408259005
ENSMUST00000028188,0.8212187741989668,0.2606995481854837
ENSMUST00000064405,0.6958835291296694,0.5562358377792408
ENSMUST00000005815,0.3662164522281307,0.7187039878802595
ENSMUST00000027988,0.5701026442808983,0.3890493742042818
ENSMUST00000030025,0.044953840191923146,0.020139330172094322
ENSMUST00000039631,0.06641573930751937,0.09414950196230636
ENSMUST00000066384,0.4263373610206945,0.19431827647045619
ENSMUST00000078527,0.24705929294817855,0.36904057365986803
ENSMUST00000112516,0.020646890447431142,0.08134566978366137
ENSMUST00000169095,0.20074041651580785,0.10385124649723015
ENSMUST00000217381,2.1037919480467084,1.9771994180791854
ENSMUST00000014174,0.06510249520138735,0.08923116149994308
ENSMUST00000028355,0.30224163737294485,0.13221975071972394
ENSMUST00000051773,0.05757950721288804,0.13994569619997
ENSMUST00000064775,0.036203829112426325,0.035870050998304884
ENSMUST00000088454,0.06823459784952468,0.08965628878325592
ENSMUST00000172278,0.027736198231731228,0.034813856447622346
ENSMUST00000021420,0.037899363766414895,0.05795508924533749
ENSMUST00000028123,0.07987905441714356,0.37062823804770056
ENSMUST00000057188,0.03037391051598128,0.03650484743054585
ENSMUST00000072899,0.1330508047680288,0.01647243521326214
ENSMUST00000087950,0.0481983771946627,0.03657729536597184
ENSMUST00000093110,0.12688704963706374,0.17114378507954184
ENSMUST00000109546,0.3160231177597567,0.08852214749934832
ENSMUST00000109935,0.021866292540637638,0.04324719991695154
ENSMUST00000182056,1.9937527772897452,0.0837203344267282
ENSMUST00000026466,0.14079239063715906,0.5100704664765585
ENSMUST00000029297,0.07611666770514353,0.0974622459773275
ENSMUST00000035083,0.774759648009772,0.21908429662867784
ENSMUST00000043577,0.22239224905000762,0.12123647217427017
ENSMUST00000050027,1.0042469597079722,2.7150995855223936
ENSMUST00000012587,0.060440221251855525,0.06340266214344253
ENSMUST00000020040,1.0201175348565175,0.029769976462948707
ENSMUST00000053922,0.09358030379060779,0.5031191185126274
ENSMUST00000092155,0.14455525429185495,0.16370210784288677
ENSMUST00000102665,6.327262050623925,8.156507841908994
ENSMUST00000179526,0.03262732681257949,0.08641704886217277
ENSMUST00000037294,0.00947651034677474,0.07909478029344326
ENSMUST00000042850,0.10886392638573952,0.15847955996622215
ENSMUST00000058787,0.1398073148165968,0.551763854336104
ENSMUST00000085164,0.010322148510627675,0.04332455569041731
ENSMUST00000095037,0.7304731306715322,0.5386704529539648
ENSMUST00000109104,0.015119817315230995,0.03190792266464023
ENSMUST00000023670,0.16874135001270937,0.05170063470295084
ENSMUST00000045374,0.08364539853958795,0.14765798319886722
ENSMUST00000095550,0.27668911124272083,0.057799494240694596
ENSMUST00000100676,0.1683071575539892,0.0676476164642981
ENSMUST00000103426,0.26203212396296355,0.10436575260509358
ENSMUST00000107377,0.049254246793187434,0.07265737924266408
ENSMUST00000221470,0.04331199759819099,0.14402134796672517
ENSMUST00000074372,0.021894732478089114,0.26621626229285655
ENSMUST00000114468,0.004332469127344627,0.08562867706597652
ENSMUST00000116304,0.3094366551392949,0.08401691114292856
ENSMUST00000021770,0.05059540042359406,0.1497389716042846
ENSMUST00000034533,0.05787947382081626,0.061573152239457585
ENSMUST00000069334,0.3615362923336808,0.23921468964590292
ENSMUST00000079788,0.02207729318117369,0.02734582117592634
ENSMUST00000090461,0.057995161935006194,0.1823188096656567
ENSMUST00000102534,0.003521892075799533,0.014329626375429758
ENSMUST00000019994,0.10537242206339768,0.03106501115252952
ENSMUST00000027083,0.07979626566361195,0.11664775454996403
ENSMUST00000033919,0.09092670167068602,0.0893903049241911
ENSMUST00000056442,0.014987894641906047,0.05158508753071009
ENSMUST00000070375,0.8141190810366801,0.4173330389809018
ENSMUST00000026917,0.292140849375829,0.15881689531713056
ENSMUST00000162098,0.1499028078251926,0.27178544763742635
ENSMUST00000164639,0.05382523409052804,0.030349967149931708
ENSMUST00000168630,0.18589454453763557,0.051820566614613706
ENSMUST00000115323,0.07462795128623026,0.0726230693130992
ENSMUST00000176129,0.01450687557377735,0.11441577361878562
ENSMUST00000034927,0.02986060205375903,0.027223569974108876
ENSMUST00000039630,0.08430935419068125,0.06936607805158945
ENSMUST00000054095,0.13741959458131947,0.058752762107740074
ENSMUST00000063433,0.04372081545014875,0.21973285320918687
ENSMUST00000066060,0.31618460375062635,0.04241171789172233
ENSMUST00000077524,0.03904605185375324,0.06810833675375531
ENSMUST00000085374,0.0,0.030022479178397024
ENSMUST00000142118,0.3208193101937628,0.8868717098661931
ENSMUST00000145302,0.08389990881879686,0.05820638975829479
ENSMUST00000106663,0.01309775979317956,0.008035838854467042
ENSMUST00000002765,0.08794320324216962,0.1894087598909399
ENSMUST00000025404,0.05397976401441553,0.7287702271187377
ENSMUST00000028663,0.18564683982358027,0.15815122534628667
ENSMUST00000057849,0.0474004111565237,0.06110196319214632
ENSMUST00000106437,0.02432414959592395,0.11114168472143722
ENSMUST00000160810,0.2701222682757782,0.11789562112018453
ENSMUST00000058692,0.10699266416734965,0.07165924597314943
ENSMUST00000060369,0.058479643236810715,0.06931400482146753
ENSMUST00000080780,0.10055419924415068,0.08752429172559953
ENSMUST00000081265,0.07664524452951117,0.11178591312050933
ENSMUST00000107968,2.370558618554751,2.93058321509247
ENSMUST00000000188,0.020969583800058395,0.012645176722986321
ENSMUST00000000275,0.36675464198998164,0.23416301713483562
ENSMUST00000001867,0.13086471192411117,0.12211631160716463
ENSMUST00000003502,0.9192911574396457,0.5086863549512954
ENSMUST00000003843,0.45994382690243213,0.6979972998980452
ENSMUST00000004774,0.015347657143596692,0.019982563983322675
ENSMUST00000005255,0.09944196818791386,0.05397538733664029
ENSMUST00000012664,0.048486292395825574,0.09443665830592843
ENSMUST00000015712,0.384124765839119,0.024573473723186405
ENSMUST00000016638,0.0751568623293467,0.1189890867762978
ENSMUST00000018842,0.15737580821675434,0.04639381569456205
ENSMUST00000020102,0.032614250809809855,0.040706563717847026
ENSMUST00000020439,0.030770760957916785,0.042409693813396446
ENSMUST00000021004,0.056455712060994284,0.049443215819265925
ENSMUST00000022100,0.11871458197835846,0.09961193130153889
ENSMUST00000022150,0.35050328068121067,0.8657278197232668
ENSMUST00000022622,0.09627644593996958,0.004710497198541456
ENSMUST00000022921,0.1363955827903382,0.07074744682063044
ENSMUST00000023568,0.3450225305246129,0.24396108271533606
ENSMUST00000023754,0.03648138796871465,0.04404693818864973
ENSMUST00000024660,0.08133925470334136,0.04536117213279274
ENSMUST00000024755,0.09448700774890073,0.10784966079748248
ENSMUST00000024840,0.02053992776427925,0.05834626778381557
ENSMUST00000024880,0.09377407150175165,0.5030164191332276
ENSMUST00000025497,0.11848211635596219,0.7776712388831488
ENSMUST00000026234,0.03481425609103154,0.09514606052085886
ENSMUST00000027601,0.16198833398900855,0.17909283289307398
ENSMUST00000027849,0.07447097240090364,0.06581674800662252
ENSMUST00000028166,2.792157881014534,0.5230747792716197
ENSMUST00000028838,0.39280797104731946,0.21130627133085209
ENSMUST00000028883,0.02009868214149658,0.09889552643515316
ENSMUST00000029822,0.2260221100664378,0.11104907986594274
ENSMUST00000030508,0.2110506724943862,0.28660096575201427
ENSMUST00000030568,0.05656422193366217,0.16474437826589844
ENSMUST00000030687,0.25225542045137334,0.11031414209710785
ENSMUST00000031017,0.09186233999258589,0.06332587269597392
ENSMUST00000031278,5.048200250219608,5.791800775715869
ENSMUST00000032768,0.22671239751964342,0.12160879299512414
ENSMUST00000033198,0.04076139527922389,0.16880640294869514
ENSMUST00000034026,0.0849470238949682,0.0758568012538333
ENSMUST00000034408,0.0955975933358657,0.021337770165370383
ENSMUST00000034802,0.05506458525931094,0.017368587155994174
ENSMUST00000035014,0.08450143207404724,0.03405302294885585
ENSMUST00000036439,0.07924277074252636,0.06040182509875892
ENSMUST00000036653,0.19673513412373092,0.5531194674499826
ENSMUST00000036992,0.02168030767146887,0.018326962972827807
ENSMUST00000038856,0.03530464707823482,0.42597388794460495
ENSMUST00000039118,0.026151571534889485,0.06037408478826812
ENSMUST00000039366,0.12938511930613164,0.31854943872454466
ENSMUST00000039516,0.12185444668669569,0.2595270053518137
