,withNA,noNA
ENSMUST00000028118,0.1521453246849004,0.06085096595734375
ENSMUST00000028280,0.41873943598583213,0.5335300334559239
ENSMUST00000030676,0.044150521358374266,0.36436981723226525
ENSMUST00000047328,0.158727096527788,0.26115391025033896
ENSMUST00000057021,0.3539125144975123,0.1606787626950941
ENSMUST00000090697,0.185639970223788,0.13043225084215934
ENSMUST00000091554,0.027056322813217556,0.010944338194147817
ENSMUST00000162772,0.4507912375762868,0.19235049631843965
ENSMUST00000021284,0.09460412676550521,0.06622419804440834
ENSMUST00000022195,0.3202852881894773,0.0913377946841
ENSMUST00000029876,0.7224738179621238,0.3351577730564637
ENSMUST00000030533,0.21274455393398714,0.07489242626741695
ENSMUST00000037974,0.043377740266950175,0.07666281796918685
ENSMUST00000058007,0.48396140163345586,0.5316334585675723
ENSMUST00000014777,0.11149742753869413,0.1008802427665542
ENSMUST00000023807,5.149605520299126,5.705465665442827
ENSMUST00000036060,0.0738401639203624,0.05892216537576992
ENSMUST00000123454,0.18038447834543583,0.326188167065497
ENSMUST00000134921,0.059597245192971965,0.062357095898883316
ENSMUST00000155648,0.03679494311373283,0.014636177677622937
ENSMUST00000174661,0.12168057045269612,0.25538870033925287
ENSMUST00000203732,1.6889427427539834,2.237375198412999
ENSMUST00000003754,0.07761441464277381,0.2494690304383216
ENSMUST00000021970,0.16320806632923232,0.21744810586179875
ENSMUST00000027991,0.025530611062049458,0.020027194641528853
ENSMUST00000032710,0.4031275374958834,0.3786279373618478
ENSMUST00000038364,0.11710253217834102,0.08756021140459122
ENSMUST00000039135,0.16675701160164486,0.04079488827001393
ENSMUST00000044624,0.10112343720171547,0.28570085153922287
ENSMUST00000053768,0.16894319391160909,0.19540314947661325
ENSMUST00000064770,0.4124545140708773,0.06918087618761923
ENSMUST00000067444,0.4826777847318144,0.775594319198745
ENSMUST00000068581,0.4633679293779298,0.45702116019493
ENSMUST00000095360,0.03510156186576066,0.13475514862390828
ENSMUST00000097648,0.15488546850724658,0.12364921066641761
ENSMUST00000111656,0.12023192727544027,0.015242328168036404
ENSMUST00000112335,0.04248417221951813,0.06626293865681841
ENSMUST00000112706,0.07852280414442508,0.04764820833964777
ENSMUST00000112832,0.299033809232832,0.38266736862594697
ENSMUST00000113438,0.07690488551022938,0.2174703984109007
ENSMUST00000130300,0.11104090744757623,0.1063298617426266
ENSMUST00000142742,0.2003700593398619,0.1001095025400777
ENSMUST00000174353,0.7777754769307446,0.6521590709079266
ENSMUST00000196324,0.020570684818859077,0.0555804547811183
ENSMUST00000238946,0.20110042891914642,0.2403609013552461
ENSMUST00000001854,0.0855128258478387,0.13074396594037985
ENSMUST00000003351,0.07709865945524372,0.007399448138485488
ENSMUST00000004076,0.1347764040809779,0.0645180087873018
ENSMUST00000005493,0.3330167388681792,0.02699086706010856
ENSMUST00000005860,0.054938905841500525,0.03156060432207865
ENSMUST00000017637,0.06980502335418452,0.01591758384564036
ENSMUST00000022013,0.04301067267482415,0.06275131454346955
ENSMUST00000027451,0.013950208733425276,0.02193785991074172
ENSMUST00000027467,0.11355350924993225,0.0696874964711826
ENSMUST00000029948,0.06537333455809824,0.0864847793993202
ENSMUST00000034903,0.0557635872723128,0.1108731625348923
ENSMUST00000036019,0.07093844750748242,0.09044353625060443
ENSMUST00000036300,0.17822942123337865,0.09404302285022516
ENSMUST00000037623,0.02282634795830306,0.03213728449129662
ENSMUST00000038815,0.07438121355059028,0.17834052541301482
ENSMUST00000042744,0.34019008383560556,0.7366362355348681
ENSMUST00000044380,0.024102653478512398,0.07121707176263381
ENSMUST00000044828,0.08827596650411812,0.5072178180431959
ENSMUST00000045738,0.1091429618370024,0.11588075193870188
ENSMUST00000050958,0.6781352207866296,0.7051111990091443
ENSMUST00000052907,0.1251638175455332,0.11397446477322376
ENSMUST00000053764,0.061970309369960695,0.026644743075787992
ENSMUST00000054351,0.34516478609214096,0.1801553680380821
ENSMUST00000054883,0.40721262780287715,0.45772119509024406
ENSMUST00000059562,0.05466604588239831,0.7643712273659157
ENSMUST00000062528,0.05680812758801279,0.0070169904491662995
ENSMUST00000063278,0.056919861906430794,0.06379337843684033
ENSMUST00000070748,0.08148132372372777,0.16348278696905158
ENSMUST00000077962,0.023199103734455436,0.02985158601835356
ENSMUST00000084615,0.08214166725440422,0.07770412631998119
ENSMUST00000093852,0.19447986297304856,0.21370858538416584
ENSMUST00000099151,0.13698814880627322,0.06614664751764875
ENSMUST00000107570,0.0767185165986915,0.24780985917070564
ENSMUST00000109424,0.10560858567879453,0.12121630224414327
ENSMUST00000111063,0.122737401631211,0.4105964402182089
ENSMUST00000111332,0.03368477554500557,0.015347307400085611
ENSMUST00000113453,0.14841161550215676,0.2537902160328877
ENSMUST00000119068,0.06699406099414776,0.021275751443707313
ENSMUST00000128904,3.2731364709169006,3.287264449296908
ENSMUST00000139906,0.026574616171333235,0.030013079344533074
ENSMUST00000140626,0.3384443416052351,0.1606845212843686
ENSMUST00000146497,0.09425007853754885,0.09795443143322684
ENSMUST00000162899,0.16112525176468354,0.02980528493967418
ENSMUST00000167199,0.13729433189399165,0.053459640983054744
ENSMUST00000169470,0.13843920345104685,0.1647791426826447
ENSMUST00000176383,0.043291668451317926,0.0336035310563259
ENSMUST00000176438,0.12528687217166704,0.03616697359510005
ENSMUST00000184666,0.06612298972031833,0.11015322021577302
ENSMUST00000186458,0.13915217864344084,0.24166449399371573
ENSMUST00000191829,0.06006895047092355,0.14275464611047514
ENSMUST00000206034,0.0960020120417827,0.14238609872095964
ENSMUST00000219723,0.05021533640505237,0.013856368851337895
ENSMUST00000234410,0.012236936957115974,0.044053853010303824
ENSMUST00000028689,0.09277952192074093,0.17275923743854205
ENSMUST00000044278,0.18482818042823324,0.02189027540162466
ENSMUST00000159359,0.11896229269439994,0.03409863900683103
ENSMUST00000160777,0.08553293078842088,0.0906795922842509
ENSMUST00000210209,0.500216738355521,0.49890701484642275
ENSMUST00000060125,0.031097740370001386,0.0081900516600344
ENSMUST00000061601,0.049312829132348114,0.23112890270345857
