,lipid,n,method,ML,R2
2636,HexCer 38:1,5,neglog,ridge,0.3099
2637,HexCer 38:1,5,neglog,lasso,-0.0003
2638,HexCer 38:1,5,neglog,dummy,-0.0003
2639,PS(O-34:0(OH)) ,5,neglog,knn,0.5624
2640,PS(O-34:0(OH)) ,5,neglog,catboost,0.4767
2641,PS(O-34:0(OH)) ,5,neglog,xgboost,0.4211
2642,PS(O-34:0(OH)) ,5,neglog,lr,0.3319
2643,PS(O-34:0(OH)) ,5,neglog,ridge,0.3319
2644,PS(O-34:0(OH)) ,5,neglog,lasso,-0.0003
2645,PS(O-34:0(OH)) ,5,neglog,dummy,-0.0003
2646,Cer 40:2,5,neglog,knn,0.4326
2647,Cer 40:2,5,neglog,catboost,0.3861
2648,Cer 40:2,5,neglog,xgboost,0.3125
2649,Cer 40:2,5,neglog,lr,0.2592
2650,Cer 40:2,5,neglog,ridge,0.2592
2651,Cer 40:2,5,neglog,lasso,-0.0002
2652,Cer 40:2,5,neglog,dummy,-0.0002
2653,PE(42:6) ,5,neglog,catboost,0.1575
2654,PE(42:6) ,5,neglog,lr,0.1343
2655,PE(42:6) ,5,neglog,ridge,0.1343
2656,PE(42:6) ,5,neglog,xgboost,0.1319
2657,PE(42:6) ,5,neglog,knn,0.0709
2658,PE(42:6) ,5,neglog,lasso,-0.0002
2659,PE(42:6) ,5,neglog,dummy,-0.0002
2660,PE O-34:2,5,neglog,catboost,0.0696
2661,PE O-34:2,5,neglog,xgboost,0.0631
2662,PE O-34:2,5,neglog,lr,0.0597
2663,PE O-34:2,5,neglog,ridge,0.0597
2664,PE O-34:2,5,neglog,lasso,-0.0001
2665,PE O-34:2,5,neglog,dummy,-0.0001
2666,PE O-34:2,5,neglog,knn,-0.0605
2667,PI-Cer(t30:1) ,5,neglog,knn,0.4452
2668,PI-Cer(t30:1) ,5,neglog,catboost,0.3924
2669,PI-Cer(t30:1) ,5,neglog,xgboost,0.3329
2670,PI-Cer(t30:1) ,5,neglog,lr,0.2761
2671,PI-Cer(t30:1) ,5,neglog,ridge,0.2761
2672,PI-Cer(t30:1) ,5,neglog,lasso,-0.0001
2673,PI-Cer(t30:1) ,5,neglog,dummy,-0.0001
2674,Hex2Cer 32:0,5,neglog,catboost,0.2812
2675,Hex2Cer 32:0,5,neglog,knn,0.2718
2676,Hex2Cer 32:0,5,neglog,xgboost,0.2241
2677,Hex2Cer 32:0,5,neglog,lr,0.212
2678,Hex2Cer 32:0,5,neglog,ridge,0.212
2679,Hex2Cer 32:0,5,neglog,lasso,-0.0001
2680,Hex2Cer 32:0,5,neglog,dummy,-0.0001
2681,PA 36:1,5,neglog,knn,0.4626
2682,PA 36:1,5,neglog,catboost,0.4163
2683,PA 36:1,5,neglog,xgboost,0.3474
2684,PA 36:1,5,neglog,lr,0.3073
2685,PA 36:1,5,neglog,ridge,0.3073
2686,PA 36:1,5,neglog,lasso,-0.0001
2687,PA 36:1,5,neglog,dummy,-0.0001
2688,PC 33:1,5,neglog,catboost,0.0591
2689,PC 33:1,5,neglog,lr,0.045
2690,PC 33:1,5,neglog,ridge,0.045
2691,PC 33:1,5,neglog,xgboost,0.0411
2692,PC 33:1,5,neglog,lasso,-0.0001
2693,PC 33:1,5,neglog,dummy,-0.0001
2694,PC 33:1,5,neglog,knn,-0.0471
2695,PA 39:1,5,neglog,knn,0.5146
2696,PA 39:1,5,neglog,catboost,0.4514
2697,PA 39:1,5,neglog,xgboost,0.379
2698,PA 39:1,5,neglog,lr,0.3214
2699,PA 39:1,5,neglog,ridge,0.3214
2700,PA 39:1,5,neglog,lasso,-0.0003
2701,PA 39:1,5,neglog,dummy,-0.0003
2702,PC 32:0,5,neglog,knn,0.6782
2703,PC 32:0,5,neglog,catboost,0.6122
2704,PC 32:0,5,neglog,xgboost,0.5835
2705,PC 32:0,5,neglog,lr,0.4992
2706,PC 32:0,5,neglog,ridge,0.4992
2707,PC 32:0,5,neglog,lasso,-0.0001
2708,PC 32:0,5,neglog,dummy,-0.0001
2709,PIP(O-36:5) ,5,neglog,catboost,0.1075
2710,PIP(O-36:5) ,5,neglog,lr,0.0901
2711,PIP(O-36:5) ,5,neglog,ridge,0.0901
2712,PIP(O-36:5) ,5,neglog,xgboost,0.0876
2713,PIP(O-36:5) ,5,neglog,lasso,-0.0001
2714,PIP(O-36:5) ,5,neglog,dummy,-0.0001
2715,PIP(O-36:5) ,5,neglog,knn,-0.0021
2716,HexCer 42:1,5,neglog,knn,0.5571
2717,HexCer 42:1,5,neglog,catboost,0.4941
2718,HexCer 42:1,5,neglog,xgboost,0.4266
2719,HexCer 42:1,5,neglog,lr,0.3555
2720,HexCer 42:1,5,neglog,ridge,0.3555
2721,HexCer 42:1,5,neglog,lasso,-0.0001
2722,HexCer 42:1,5,neglog,dummy,-0.0001
2723,LPC 15:1,5,neglog,knn,0.6181
2724,LPC 15:1,5,neglog,catboost,0.5373
2725,LPC 15:1,5,neglog,xgboost,0.5011
2726,LPC 15:1,5,neglog,lr,0.3795
2727,LPC 15:1,5,neglog,ridge,0.3795
2728,LPC 15:1,5,neglog,lasso,-0.0002
2729,LPC 15:1,5,neglog,dummy,-0.0002
2730,LPC O-18:3,5,neglog,catboost,0.1292
2731,LPC O-18:3,5,neglog,lr,0.0935
2732,LPC O-18:3,5,neglog,ridge,0.0935
2733,LPC O-18:3,5,neglog,xgboost,0.0838
2734,LPC O-18:3,5,neglog,knn,0.0403
2735,LPC O-18:3,5,neglog,lasso,-0.0001
2736,LPC O-18:3,5,neglog,dummy,-0.0001
2737,SM(t42:1) ,5,neglog,catboost,0.2521
2738,SM(t42:1) ,5,neglog,knn,0.2339
2739,SM(t42:1) ,5,neglog,xgboost,0.2006
2740,SM(t42:1) ,5,neglog,lr,0.1909
2741,SM(t42:1) ,5,neglog,ridge,0.1909
2742,SM(t42:1) ,5,neglog,lasso,-0.0002
2743,SM(t42:1) ,5,neglog,dummy,-0.0002
2744,PE 36:0,5,neglog,knn,0.6465
2745,PE 36:0,5,neglog,catboost,0.5683
2746,PE 36:0,5,neglog,xgboost,0.537
2747,PE 36:0,5,neglog,lr,0.4264
2748,PE 36:0,5,neglog,ridge,0.4264
2749,PE 36:0,5,neglog,lasso,-0.0001
2750,PE 36:0,5,neglog,dummy,-0.0001
2751,PC(40:4) ,5,neglog,knn,0.3574
2752,PC(40:4) ,5,neglog,catboost,0.3342
2753,PC(40:4) ,5,neglog,xgboost,0.2517
2754,PC(40:4) ,5,neglog,ridge,0.2373
2755,PC(40:4) ,5,neglog,lr,0.2372
2756,PC(40:4) ,5,neglog,lasso,-0.0001
2757,PC(40:4) ,5,neglog,dummy,-0.0001
2758,PA 42:7,5,neglog,knn,0.377
2759,PA 42:7,5,neglog,catboost,0.3393
2760,PA 42:7,5,neglog,xgboost,0.2694
2761,PA 42:7,5,neglog,lr,0.2431
2762,PA 42:7,5,neglog,ridge,0.2431
2763,PA 42:7,5,neglog,lasso,-0.0001
2764,PA 42:7,5,neglog,dummy,-0.0001
2765,Cer 36:1,5,neglog,catboost,0.0318
2766,Cer 36:1,5,neglog,lr,0.029
2767,Cer 36:1,5,neglog,ridge,0.029
2768,Cer 36:1,5,neglog,xgboost,0.022
2769,Cer 36:1,5,neglog,lasso,-0.0002
2770,Cer 36:1,5,neglog,dummy,-0.0002
2771,Cer 36:1,5,neglog,knn,-0.1174
2772,PI-Cer(t32:1) ,5,neglog,catboost,0.2077
2773,PI-Cer(t32:1) ,5,neglog,knn,0.1727
2774,PI-Cer(t32:1) ,5,neglog,lr,0.1459
2775,PI-Cer(t32:1) ,5,neglog,ridge,0.1459
2776,PI-Cer(t32:1) ,5,neglog,xgboost,0.1246
2777,PI-Cer(t32:1) ,5,neglog,lasso,-0.0
2778,PI-Cer(t32:1) ,5,neglog,dummy,-0.0
2779,PC 38:6,5,neglog,knn,0.6246
2780,PC 38:6,5,neglog,catboost,0.5563
2781,PC 38:6,5,neglog,xgboost,0.5094
2782,PC 38:6,5,neglog,lr,0.4274
2783,PC 38:6,5,neglog,ridge,0.4274
2784,PC 38:6,5,neglog,lasso,-0.0002
2785,PC 38:6,5,neglog,dummy,-0.0002
2786,CerP(t42:1) ,5,neglog,catboost,0.2891
2787,CerP(t42:1) ,5,neglog,knn,0.2766
2788,CerP(t42:1) ,5,neglog,xgboost,0.2204
2789,CerP(t42:1) ,5,neglog,lr,0.22
2790,CerP(t42:1) ,5,neglog,ridge,0.22
2791,CerP(t42:1) ,5,neglog,lasso,-0.0001
2792,CerP(t42:1) ,5,neglog,dummy,-0.0001
2793,PE(40:7) ,5,neglog,catboost,0.2192
2794,PE(40:7) ,5,neglog,xgboost,0.1971
2795,PE(40:7) ,5,neglog,ridge,0.1903
2796,PE(40:7) ,5,neglog,lr,0.1902
2797,PE(40:7) ,5,neglog,knn,0.1375
2798,PE(40:7) ,5,neglog,lasso,-0.0001
2799,PE(40:7) ,5,neglog,dummy,-0.0001
2800,PA 40:6,5,neglog,catboost,0.2189
2801,PA 40:6,5,neglog,lr,0.1749
2802,PA 40:6,5,neglog,ridge,0.1749
2803,PA 40:6,5,neglog,xgboost,0.173
2804,PA 40:6,5,neglog,knn,0.1512
2805,PA 40:6,5,neglog,lasso,-0.0001
2806,PA 40:6,5,neglog,dummy,-0.0001
2807,PC 32:1,5,neglog,knn,0.6292
2808,PC 32:1,5,neglog,catboost,0.5669
2809,PC 32:1,5,neglog,xgboost,0.5047
2810,PC 32:1,5,neglog,lr,0.4533
2811,PC 32:1,5,neglog,ridge,0.4533
2812,PC 32:1,5,neglog,lasso,-0.0001
2813,PC 32:1,5,neglog,dummy,-0.0001
2814,PS(40:4) ,5,neglog,catboost,0.0583
2815,PS(40:4) ,5,neglog,lr,0.0458
2816,PS(40:4) ,5,neglog,ridge,0.0458
2817,PS(40:4) ,5,neglog,xgboost,0.0451
2818,PS(40:4) ,5,neglog,lasso,-0.0001
2819,PS(40:4) ,5,neglog,dummy,-0.0001
2820,PS(40:4) ,5,neglog,knn,-0.0658
2821,PI-Cer(t28:0) ,5,neglog,catboost,0.3622
2822,PI-Cer(t28:0) ,5,neglog,knn,0.3486
2823,PI-Cer(t28:0) ,5,neglog,lr,0.3034
2824,PI-Cer(t28:0) ,5,neglog,ridge,0.3034
2825,PI-Cer(t28:0) ,5,neglog,xgboost,0.302
2826,PI-Cer(t28:0) ,5,neglog,lasso,-0.0
2827,PI-Cer(t28:0) ,5,neglog,dummy,-0.0
2828,PE 37:2,5,neglog,knn,0.3884
2829,PE 37:2,5,neglog,catboost,0.3509
2830,PE 37:2,5,neglog,xgboost,0.2953
2831,PE 37:2,5,neglog,lr,0.2626
2832,PE 37:2,5,neglog,ridge,0.2626
2833,PE 37:2,5,neglog,lasso,-0.0
2834,PE 37:2,5,neglog,dummy,-0.0
2835,SM(d36:1) ,5,neglog,knn,0.695
2836,SM(d36:1) ,5,neglog,catboost,0.6439
2837,SM(d36:1) ,5,neglog,xgboost,0.6136
2838,SM(d36:1) ,5,neglog,lr,0.5223
2839,SM(d36:1) ,5,neglog,ridge,0.5223
2840,SM(d36:1) ,5,neglog,lasso,-0.0001
2841,SM(d36:1) ,5,neglog,dummy,-0.0001
2842,PE O-39:6,5,neglog,catboost,0.0346
2843,PE O-39:6,5,neglog,xgboost,0.0313
2844,PE O-39:6,5,neglog,lr,0.0298
2845,PE O-39:6,5,neglog,ridge,0.0298
2846,PE O-39:6,5,neglog,lasso,-0.0001
2847,PE O-39:6,5,neglog,dummy,-0.0001
2848,PE O-39:6,5,neglog,knn,-0.1116
2849,HexCer 36:1,5,neglog,knn,0.5063
2850,HexCer 36:1,5,neglog,catboost,0.4344
2851,HexCer 36:1,5,neglog,xgboost,0.3601
2852,HexCer 36:1,5,neglog,lr,0.3008
2853,HexCer 36:1,5,neglog,ridge,0.3008
2854,HexCer 36:1,5,neglog,lasso,-0.0003
2855,HexCer 36:1,5,neglog,dummy,-0.0003
2856,HexCer 42:2,5,neglog,knn,0.6279
2857,HexCer 42:2,5,neglog,catboost,0.5429
2858,HexCer 42:2,5,neglog,xgboost,0.5075
2859,HexCer 42:2,5,neglog,lr,0.3821
2860,HexCer 42:2,5,neglog,ridge,0.3821
2861,HexCer 42:2,5,neglog,lasso,-0.0002
2862,HexCer 42:2,5,neglog,dummy,-0.0002
2863,PC 35:0,5,neglog,catboost,0.2136
2864,PC 35:0,5,neglog,lr,0.1805
2865,PC 35:0,5,neglog,ridge,0.1805
2866,PC 35:0,5,neglog,xgboost,0.18
2867,PC 35:0,5,neglog,knn,0.1604
2868,PC 35:0,5,neglog,lasso,-0.0001
2869,PC 35:0,5,neglog,dummy,-0.0001
2870,PC(38:5) ,5,neglog,knn,0.4648
2871,PC(38:5) ,5,neglog,catboost,0.4419
2872,PC(38:5) ,5,neglog,xgboost,0.3691
2873,PC(38:5) ,5,neglog,lr,0.3404
2874,PC(38:5) ,5,neglog,ridge,0.3404
2875,PC(38:5) ,5,neglog,lasso,-0.0001
2876,PC(38:5) ,5,neglog,dummy,-0.0001
2877,PA(42:8) ,5,neglog,knn,0.2872
2878,PA(42:8) ,5,neglog,catboost,0.2631
2879,PA(42:8) ,5,neglog,xgboost,0.181
2880,PA(42:8) ,5,neglog,ridge,0.1691
2881,PA(42:8) ,5,neglog,lr,0.169
2882,PA(42:8) ,5,neglog,lasso,-0.0001
2883,PA(42:8) ,5,neglog,dummy,-0.0001
2884,PE O-41:11,5,neglog,catboost,0.2461
2885,PE O-41:11,5,neglog,knn,0.2124
2886,PE O-41:11,5,neglog,xgboost,0.197
2887,PE O-41:11,5,neglog,lr,0.1894
2888,PE O-41:11,5,neglog,ridge,0.1894
2889,PE O-41:11,5,neglog,lasso,-0.0
2890,PE O-41:11,5,neglog,dummy,-0.0
2891,PE(40:8) ,5,neglog,catboost,0.0774
2892,PE(40:8) ,5,neglog,lr,0.066
2893,PE(40:8) ,5,neglog,ridge,0.066
2894,PE(40:8) ,5,neglog,xgboost,0.0636
2895,PE(40:8) ,5,neglog,lasso,-0.0001
2896,PE(40:8) ,5,neglog,dummy,-0.0001
2897,PE(40:8) ,5,neglog,knn,-0.0401
2898,PG(36:1(OH)) ,5,neglog,knn,0.3975
2899,PG(36:1(OH)) ,5,neglog,catboost,0.3915
2900,PG(36:1(OH)) ,5,neglog,xgboost,0.3535
2901,PG(36:1(OH)) ,5,neglog,lr,0.3256
2902,PG(36:1(OH)) ,5,neglog,ridge,0.3256
2903,PG(36:1(OH)) ,5,neglog,lasso,-0.0001
2904,PG(36:1(OH)) ,5,neglog,dummy,-0.0001
2905,SM 34:1,5,neglog,knn,0.3325
2906,SM 34:1,5,neglog,catboost,0.245
2907,SM 34:1,5,neglog,xgboost,0.1656
2908,SM 34:1,5,neglog,lr,0.1123
2909,SM 34:1,5,neglog,ridge,0.1123
2910,SM 34:1,5,neglog,lasso,-0.0
2911,SM 34:1,5,neglog,dummy,-0.0
2912,HexCer(t42:0) ,5,neglog,knn,0.5417
2913,HexCer(t42:0) ,5,neglog,catboost,0.4786
2914,HexCer(t42:0) ,5,neglog,xgboost,0.414
2915,HexCer(t42:0) ,5,neglog,lr,0.3509
2916,HexCer(t42:0) ,5,neglog,ridge,0.3509
2917,HexCer(t42:0) ,5,neglog,lasso,-0.0002
2918,HexCer(t42:0) ,5,neglog,dummy,-0.0002
2919,PC 34:2,5,neglog,catboost,0.1171
2920,PC 34:2,5,neglog,lr,0.0892
2921,PC 34:2,5,neglog,ridge,0.0892
2922,PC 34:2,5,neglog,xgboost,0.0889
2923,PC 34:2,5,neglog,knn,0.0493
2924,PC 34:2,5,neglog,lasso,-0.0001
2925,PC 34:2,5,neglog,dummy,-0.0001
2926,SHexCer 38:1;3,5,neglog,catboost,0.2251
2927,SHexCer 38:1;3,5,neglog,knn,0.2181
2928,SHexCer 38:1;3,5,neglog,xgboost,0.1644
2929,SHexCer 38:1;3,5,neglog,lr,0.153
2930,SHexCer 38:1;3,5,neglog,ridge,0.153
2931,SHexCer 38:1;3,5,neglog,lasso,-0.0
2932,SHexCer 38:1;3,5,neglog,dummy,-0.0
2933,LPC 22:6,5,neglog,knn,0.2991
2934,LPC 22:6,5,neglog,catboost,0.2971
2935,LPC 22:6,5,neglog,xgboost,0.2039
2936,LPC 22:6,5,neglog,ridge,0.1936
2937,LPC 22:6,5,neglog,lr,0.1935
2938,LPC 22:6,5,neglog,lasso,-0.0001
2939,LPC 22:6,5,neglog,dummy,-0.0001
2940,HexCer 40:0,5,neglog,knn,0.4575
2941,HexCer 40:0,5,neglog,catboost,0.417
2942,HexCer 40:0,5,neglog,xgboost,0.3447
2943,HexCer 40:0,5,neglog,lr,0.2942
2944,HexCer 40:0,5,neglog,ridge,0.2942
2945,HexCer 40:0,5,neglog,lasso,-0.0002
2946,HexCer 40:0,5,neglog,dummy,-0.0002
2947,LPC 18:0,5,neglog,catboost,0.2552
2948,LPC 18:0,5,neglog,knn,0.2433
2949,LPC 18:0,5,neglog,xgboost,0.1959
2950,LPC 18:0,5,neglog,lr,0.1921
2951,LPC 18:0,5,neglog,ridge,0.1921
2952,LPC 18:0,5,neglog,lasso,-0.0
2953,LPC 18:0,5,neglog,dummy,-0.0
2954,PE 36:2,5,neglog,catboost,0.2578
2955,PE 36:2,5,neglog,knn,0.2284
2956,PE 36:2,5,neglog,xgboost,0.2044
2957,PE 36:2,5,neglog,lr,0.1966
2958,PE 36:2,5,neglog,ridge,0.1966
2959,PE 36:2,5,neglog,lasso,-0.0001
2960,PE 36:2,5,neglog,dummy,-0.0001
2961,SM 36:1,5,neglog,knn,0.6436
2962,SM 36:1,5,neglog,catboost,0.5642
2963,SM 36:1,5,neglog,xgboost,0.5314
2964,SM 36:1,5,neglog,lr,0.4222
2965,SM 36:1,5,neglog,ridge,0.4222
2966,SM 36:1,5,neglog,lasso,-0.0001
2967,SM 36:1,5,neglog,dummy,-0.0001
2968,PI-Cer(d38:0) ,5,neglog,knn,0.5976
2969,PI-Cer(d38:0) ,5,neglog,catboost,0.5119
2970,PI-Cer(d38:0) ,5,neglog,xgboost,0.4783
2971,PI-Cer(d38:0) ,5,neglog,lr,0.3562
2972,PI-Cer(d38:0) ,5,neglog,ridge,0.3562
2973,PI-Cer(d38:0) ,5,neglog,lasso,-0.0003
2974,PI-Cer(d38:0) ,5,neglog,dummy,-0.0003
2975,PE(40:4) ,5,neglog,catboost,0.2814
2976,PE(40:4) ,5,neglog,knn,0.2675
2977,PE(40:4) ,5,neglog,ridge,0.2085
2978,PE(40:4) ,5,neglog,lr,0.2084
2979,PE(40:4) ,5,neglog,xgboost,0.2082
2980,PE(40:4) ,5,neglog,lasso,-0.0001
2981,PE(40:4) ,5,neglog,dummy,-0.0001
2982,HexCer(t40:0) ,5,neglog,knn,0.5647
2983,HexCer(t40:0) ,5,neglog,catboost,0.4976
2984,HexCer(t40:0) ,5,neglog,xgboost,0.4384
2985,HexCer(t40:0) ,5,neglog,ridge,0.3525
2986,HexCer(t40:0) ,5,neglog,lr,0.3524
2987,HexCer(t40:0) ,5,neglog,lasso,-0.0002
2988,HexCer(t40:0) ,5,neglog,dummy,-0.0002
2989,PC 33:0,5,neglog,knn,0.4571
2990,PC 33:0,5,neglog,catboost,0.448
2991,PC 33:0,5,neglog,xgboost,0.4127
2992,PC 33:0,5,neglog,lr,0.3952
2993,PC 33:0,5,neglog,ridge,0.3952
2994,PC 33:0,5,neglog,lasso,-0.0003
2995,PC 33:0,5,neglog,dummy,-0.0003
2996,PE 34:2,5,neglog,catboost,0.2608
2997,PE 34:2,5,neglog,knn,0.2203
2998,PE 34:2,5,neglog,lr,0.2087
2999,PE 34:2,5,neglog,ridge,0.2087
3000,PE 34:2,5,neglog,xgboost,0.2083
3001,PE 34:2,5,neglog,lasso,-0.0001
3002,PE 34:2,5,neglog,dummy,-0.0001
3003,PI-Cer(t32:2) ,5,neglog,catboost,0.1292
3004,PI-Cer(t32:2) ,5,neglog,lr,0.0865
3005,PI-Cer(t32:2) ,5,neglog,ridge,0.0865
3006,PI-Cer(t32:2) ,5,neglog,xgboost,0.0756
3007,PI-Cer(t32:2) ,5,neglog,knn,0.0715
3008,PI-Cer(t32:2) ,5,neglog,lasso,-0.0
3009,PI-Cer(t32:2) ,5,neglog,dummy,-0.0
3010,PE 38:4,5,neglog,knn,0.4238
3011,PE 38:4,5,neglog,catboost,0.4014
3012,PE 38:4,5,neglog,xgboost,0.3495
3013,PE 38:4,5,neglog,lr,0.3127
3014,PE 38:4,5,neglog,ridge,0.3127
3015,PE 38:4,5,neglog,lasso,-0.0001
3016,PE 38:4,5,neglog,dummy,-0.0001
3017,SM 42:2,5,neglog,knn,0.5097
3018,SM 42:2,5,neglog,catboost,0.4349
3019,SM 42:2,5,neglog,xgboost,0.3616
3020,SM 42:2,5,neglog,lr,0.283
3021,SM 42:2,5,neglog,ridge,0.283
3022,SM 42:2,5,neglog,lasso,-0.0002
3023,SM 42:2,5,neglog,dummy,-0.0002
3024,HexCer(d32:2) ,5,neglog,knn,0.5695
3025,HexCer(d32:2) ,5,neglog,catboost,0.5434
3026,HexCer(d32:2) ,5,neglog,xgboost,0.4706
3027,HexCer(d32:2) ,5,neglog,lr,0.4533
3028,HexCer(d32:2) ,5,neglog,ridge,0.4533
3029,HexCer(d32:2) ,5,neglog,lasso,-0.0001
3030,HexCer(d32:2) ,5,neglog,dummy,-0.0001
3031,PC 40:6,5,neglog,knn,0.4691
3032,PC 40:6,5,neglog,catboost,0.4039
3033,PC 40:6,5,neglog,xgboost,0.3456
3034,PC 40:6,5,neglog,lr,0.2834
3035,PC 40:6,5,neglog,ridge,0.2834
3036,PC 40:6,5,neglog,lasso,-0.0
3037,PC 40:6,5,neglog,dummy,-0.0
3038,HexCer 40:2;O3,5,neglog,knn,0.5362
3039,HexCer 40:2;O3,5,neglog,catboost,0.4643
3040,HexCer 40:2;O3,5,neglog,xgboost,0.4061
3041,HexCer 40:2;O3,5,neglog,lr,0.3283
3042,HexCer 40:2;O3,5,neglog,ridge,0.3283
3043,HexCer 40:2;O3,5,neglog,lasso,-0.0002
3044,HexCer 40:2;O3,5,neglog,dummy,-0.0002
3045,PC 35:1,5,neglog,catboost,0.1546
3046,PC 35:1,5,neglog,xgboost,0.1177
3047,PC 35:1,5,neglog,knn,0.114
3048,PC 35:1,5,neglog,ridge,0.1058
3049,PC 35:1,5,neglog,lr,0.1057
3050,PC 35:1,5,neglog,lasso,-0.0002
3051,PC 35:1,5,neglog,dummy,-0.0002
3052,PE O-40:6,5,neglog,knn,0.4201
3053,PE O-40:6,5,neglog,catboost,0.3812
3054,PE O-40:6,5,neglog,xgboost,0.3386
3055,PE O-40:6,5,neglog,ridge,0.2667
3056,PE O-40:6,5,neglog,lr,0.2666
3057,PE O-40:6,5,neglog,lasso,-0.0001
3058,PE O-40:6,5,neglog,dummy,-0.0001
3059,PG(40:4) ,5,neglog,knn,0.6064
3060,PG(40:4) ,5,neglog,catboost,0.5176
3061,PG(40:4) ,5,neglog,xgboost,0.4832
3062,PG(40:4) ,5,neglog,lr,0.3789
3063,PG(40:4) ,5,neglog,ridge,0.3789
3064,PG(40:4) ,5,neglog,lasso,-0.0001
3065,PG(40:4) ,5,neglog,dummy,-0.0001
3066,PE O-42:8,5,neglog,knn,0.2459
3067,PE O-42:8,5,neglog,catboost,0.2228
3068,PE O-42:8,5,neglog,xgboost,0.1767
3069,PE O-42:8,5,neglog,lr,0.1448
3070,PE O-42:8,5,neglog,ridge,0.1448
3071,PE O-42:8,5,neglog,lasso,-0.0
3072,PE O-42:8,5,neglog,dummy,-0.0
3073,PC 31:0,5,neglog,knn,0.2412
3074,PC 31:0,5,neglog,catboost,0.2288
3075,PC 31:0,5,neglog,xgboost,0.1748
3076,PC 31:0,5,neglog,lr,0.1425
3077,PC 31:0,5,neglog,ridge,0.1425
3078,PC 31:0,5,neglog,lasso,-0.0001
3079,PC 31:0,5,neglog,dummy,-0.0001
3080,PG(36:1) ,5,neglog,knn,0.4988
3081,PG(36:1) ,5,neglog,catboost,0.4362
3082,PG(36:1) ,5,neglog,xgboost,0.4016
3083,PG(36:1) ,5,neglog,lr,0.3107
3084,PG(36:1) ,5,neglog,ridge,0.3107
3085,PG(36:1) ,5,neglog,lasso,-0.0001
3086,PG(36:1) ,5,neglog,dummy,-0.0001
3087,PE 40:6,5,neglog,knn,0.4116
3088,PE 40:6,5,neglog,catboost,0.3979
3089,PE 40:6,5,neglog,xgboost,0.3566
3090,PE 40:6,5,neglog,lr,0.3296
3091,PE 40:6,5,neglog,ridge,0.3296
3092,PE 40:6,5,neglog,lasso,-0.0001
3093,PE 40:6,5,neglog,dummy,-0.0001
3094,PG(30:1) ,5,neglog,knn,0.446
3095,PG(30:1) ,5,neglog,catboost,0.4279
3096,PG(30:1) ,5,neglog,xgboost,0.3575
3097,PG(30:1) ,5,neglog,lr,0.3511
3098,PG(30:1) ,5,neglog,ridge,0.3511
3099,PG(30:1) ,5,neglog,lasso,-0.0001
3100,PG(30:1) ,5,neglog,dummy,-0.0001
3101,PE 36:3,5,neglog,catboost,0.1339
3102,PE 36:3,5,neglog,ridge,0.1283
3103,PE 36:3,5,neglog,lr,0.1282
3104,PE 36:3,5,neglog,xgboost,0.1263
3105,PE 36:3,5,neglog,knn,0.0186
3106,PE 36:3,5,neglog,lasso,-0.0001
3107,PE 36:3,5,neglog,dummy,-0.0001
3108,PC 34:1,5,neglog,catboost,0.3461
3109,PC 34:1,5,neglog,knn,0.342
3110,PC 34:1,5,neglog,xgboost,0.3056
3111,PC 34:1,5,neglog,lr,0.2835
3112,PC 34:1,5,neglog,ridge,0.2835
3113,PC 34:1,5,neglog,lasso,-0.0003
3114,PC 34:1,5,neglog,dummy,-0.0003
3115,PG(40:3) ,5,neglog,catboost,0.2343
3116,PG(40:3) ,5,neglog,knn,0.1912
3117,PG(40:3) ,5,neglog,xgboost,0.1824
3118,PG(40:3) ,5,neglog,lr,0.1779
3119,PG(40:3) ,5,neglog,ridge,0.1779
3120,PG(40:3) ,5,neglog,lasso,-0.0001
3121,PG(40:3) ,5,neglog,dummy,-0.0001
3122,PE-Cer(d46:3) ,5,neglog,knn,0.5631
3123,PE-Cer(d46:3) ,5,neglog,catboost,0.4663
3124,PE-Cer(d46:3) ,5,neglog,xgboost,0.3986
3125,PE-Cer(d46:3) ,5,neglog,lr,0.3361
3126,PE-Cer(d46:3) ,5,neglog,ridge,0.3361
3127,PE-Cer(d46:3) ,5,neglog,lasso,-0.0
3128,PE-Cer(d46:3) ,5,neglog,dummy,-0.0
3129,PC 35:2,5,neglog,catboost,0.302
3130,PC 35:2,5,neglog,knn,0.2724
3131,PC 35:2,5,neglog,xgboost,0.2531
3132,PC 35:2,5,neglog,ridge,0.2324
3133,PC 35:2,5,neglog,lr,0.2323
3134,PC 35:2,5,neglog,lasso,-0.0002
3135,PC 35:2,5,neglog,dummy,-0.0002
3136,PA 36:2,5,neglog,knn,0.4783
3137,PA 36:2,5,neglog,catboost,0.4106
3138,PA 36:2,5,neglog,xgboost,0.3758
3139,PA 36:2,5,neglog,lr,0.2884
3140,PA 36:2,5,neglog,ridge,0.2884
3141,PA 36:2,5,neglog,lasso,-0.0001
3142,PA 36:2,5,neglog,dummy,-0.0001
3143,HexCer 40:2,5,neglog,knn,0.4935
3144,HexCer 40:2,5,neglog,catboost,0.4319
3145,HexCer 40:2,5,neglog,xgboost,0.3739
3146,HexCer 40:2,5,neglog,lr,0.2928
3147,HexCer 40:2,5,neglog,ridge,0.2928
3148,HexCer 40:2,5,neglog,lasso,-0.0002
3149,HexCer 40:2,5,neglog,dummy,-0.0002
3150,PE O-36:2,5,neglog,knn,0.4359
3151,PE O-36:2,5,neglog,catboost,0.4061
