,Lipid,R2_mean,MAPE_mean
150,PE 40;7,0.3652,0.5142
151,PS 36;1,0.3027,0.8644
152,PC 38;6_dup,0.4355,0.5013
153,PE 40;6_dup,0.3576,0.9223
154,PC 38;5,0.3445,0.5391
155,PG(36;1(OH)) _dup,0.3448,0.7347
156,PC 38;4_dup,0.4138,0.4966
157,HexCer 42;2,0.3923,1.3342
158,PE(40;4) ,0.217,0.3773
159,Hex2Cer 32;1,0.2277,0.724
160,PC 40;6,0.164,0.5916
161,SM 42;2_dup,0.2079,0.9697
162,HexCer 40;2;O3,0.3483,0.8784
163,PI-Cer(d38;0) ,0.3793,2.9216
164,HexCer(t40;0) ,0.3503,0.8552
165,HexCer(t40;0) _dup,0.3687,0.98
166,SM(t40;1) ,0.2597,0.6493
167,PC 38;6_dup,0.4122,0.847
168,PG(40;6) ,0.4036,0.7074
169,PC(38;5) ,0.3447,0.5533
170,PC(38;5) _dup,0.3478,0.6828
171,PS(40;1) ,0.3784,0.7617
172,PG(40;5) ,0.3332,0.5475
173,PC 38;4,0.3799,0.8103
174,HexCer 42;2_dup,0.4068,3.6168
175,HexCer(t42;2) ,0.3809,0.8026
176,PG(40;4) ,0.3698,0.7018
177,PS 38;4,0.2819,0.8471
178,PC 38;3,0.3283,0.4758
179,HexCer 42;1,0.3742,0.7873
180,HexCer 42;1_dup,0.3842,2.002
181,PA(48;11) ,0.1746,0.8077
182,SM 42;2_dup,0.3319,0.9026
183,PC 38;2,0.4066,0.5279
184,PE(40;2(OH)) ,0.195,0.7667
185,PC 38;1,0.4158,0.6742
186,PG(40;1) ,0.4158,0.6629
187,PC 40;6_dup,0.2811,0.5079
188,HexCer 42;2;O3,0.4113,2.09
189,HexCer 42;1;O3,0.3956,2.8586
190,PGP(34;1) ,0.2002,0.7854
191,HexCer(t42;0) ,0.3659,0.823
192,SM(t42;1) ,0.1873,0.7209
193,PC(40;7) ,0.2702,0.5736
194,PC 40;6_dup,0.3091,0.8218
195,PG(42;6) ,0.2962,0.6728
196,Hex2Cer 32;0,0.2255,0.761
197,SHexCer 38;1;3,0.1741,0.5374
198,PE(44;11(OH)) ,0.045,0.9856
199,PC(40;4) ,0.2466,0.4268
200,PS(40;4) ,0.0587,1.0155
201,PIP(O-36;5) ,0.0883,0.9719
