,Lipid,R2_mean,MAPE_mean
150,PE 40;7,0.6384,0.3185
151,PS 36;1,0.6234,0.5969
152,PC 38;6_dup,0.7332,0.2875
153,PE 40;6_dup,0.6364,0.4424
154,PC 38;5,0.6514,0.3623
155,PG(36;1(OH)) _dup,0.6154,0.3942
156,PC 38;4_dup,0.723,0.2945
157,HexCer 42;2,0.7661,0.5836
158,PE(40;4) ,0.4674,0.2677
159,Hex2Cer 32;1,0.4166,0.6013
160,PC 40;6,0.37,0.453
161,SM 42;2_dup,0.6275,0.6424
162,HexCer 40;2;O3,0.6971,0.4688
163,PI-Cer(d38;0) ,0.7657,1.0165
164,HexCer(t40;0) ,0.7139,0.454
165,HexCer(t40;0) _dup,0.7148,0.4799
166,SM(t40;1) ,0.5199,0.4626
167,PC 38;6_dup,0.7772,0.3412
168,PG(40;6) ,0.7625,0.3118
169,PC(38;5) ,0.6247,0.3712
170,PC(38;5) _dup,0.7633,0.3232
171,PS(40;1) ,0.7125,0.4048
172,PG(40;5) ,0.7307,0.2951
173,PC 38;4,0.7657,0.3247
174,HexCer 42;2_dup,0.7836,1.1701
175,HexCer(t42;2) ,0.7074,0.4298
176,PG(40;4) ,0.7514,0.3063
177,PS 38;4,0.5511,0.6424
178,PC 38;3,0.6596,0.2779
179,HexCer 42;1,0.7135,0.4105
180,HexCer 42;1_dup,0.7757,0.7495
181,PA(48;11) ,0.3638,0.6545
182,SM 42;2_dup,0.6355,0.5024
183,PC 38;2,0.6892,0.3547
184,PE(40;2(OH)) ,0.4183,0.5905
185,PC 38;1,0.7611,0.3598
186,PG(40;1) ,0.7242,0.4097
187,PC 40;6_dup,0.5682,0.3278
188,HexCer 42;2;O3,0.7446,0.8026
189,HexCer 42;1;O3,0.7473,1.0074
190,PGP(34;1) ,0.3798,0.6217
191,HexCer(t42;0) ,0.6977,0.4363
192,SM(t42;1) ,0.395,0.5628
193,PC(40;7) ,0.6237,0.3093
194,PC 40;6_dup,0.6548,0.3691
195,PG(42;6) ,0.6298,0.3371
196,Hex2Cer 32;0,0.4461,0.5718
197,SHexCer 38;1;3,0.4159,0.4286
198,PE(44;11(OH)) ,0.0901,0.9359
199,PC(40;4) ,0.527,0.3023
200,PS(40;4) ,0.1306,0.9444
201,PIP(O-36;5) ,0.1901,0.8671
