,Lipid,R2_mean,MAPE_mean
150,PE 40;7,0.6348,0.3206
151,PS 36;1,0.615,0.6062
152,PC 38;6_dup,0.7228,0.295
153,PE 40;6_dup,0.6276,0.4532
154,PC 38;5,0.6441,0.3657
155,PG(36;1(OH)) _dup,0.6077,0.4035
156,PC 38;4_dup,0.7129,0.2955
157,HexCer 42;2,0.7553,0.6126
158,PE(40;4) ,0.4608,0.2699
159,Hex2Cer 32;1,0.4121,0.6043
160,PC 40;6,0.3622,0.4575
161,SM 42;2_dup,0.5833,0.6632
162,HexCer 40;2;O3,0.6872,0.4834
163,PI-Cer(d38;0) ,0.7543,1.0845
164,HexCer(t40;0) ,0.7011,0.4717
165,HexCer(t40;0) _dup,0.7063,0.4987
166,SM(t40;1) ,0.5118,0.4698
167,PC 38;6_dup,0.766,0.3562
168,PG(40;6) ,0.7512,0.3236
169,PC(38;5) ,0.6168,0.3766
170,PC(38;5) _dup,0.7459,0.3346
171,PS(40;1) ,0.7029,0.42
172,PG(40;5) ,0.7154,0.3011
173,PC 38;4,0.753,0.3341
174,HexCer 42;2_dup,0.7734,1.2529
175,HexCer(t42;2) ,0.6978,0.4442
176,PG(40;4) ,0.7389,0.3135
177,PS 38;4,0.5442,0.6498
178,PC 38;3,0.6499,0.2824
179,HexCer 42;1,0.7033,0.4252
180,HexCer 42;1_dup,0.7637,0.8018
181,PA(48;11) ,0.362,0.6562
182,SM 42;2_dup,0.6177,0.5258
183,PC 38;2,0.6817,0.3602
184,PE(40;2(OH)) ,0.4146,0.5941
185,PC 38;1,0.7504,0.3714
186,PG(40;1) ,0.7158,0.4173
187,PC 40;6_dup,0.5611,0.3311
188,HexCer 42;2;O3,0.7352,0.8447
189,HexCer 42;1;O3,0.7376,1.077
190,PGP(34;1) ,0.3769,0.6242
191,HexCer(t42;0) ,0.6874,0.4511
192,SM(t42;1) ,0.3831,0.5708
193,PC(40;7) ,0.6121,0.3172
194,PC 40;6_dup,0.6411,0.3823
195,PG(42;6) ,0.6172,0.3482
196,Hex2Cer 32;0,0.441,0.5767
197,SHexCer 38;1;3,0.4056,0.4313
198,PE(44;11(OH)) ,0.0859,0.9385
199,PC(40;4) ,0.5176,0.3059
200,PS(40;4) ,0.1266,0.9463
201,PIP(O-36;5) ,0.1869,0.87
