,Lipid,R2_mean,MAPE_mean
149,PG(38;1) ,0.6423,0.2594
150,PE 40;7,0.637,0.3202
151,PS 36;1,0.6146,0.6036
152,PC 38;6_dup,0.7265,0.2933
153,PE 40;6_dup,0.629,0.4538
154,PC 38;5,0.6476,0.3648
155,PG(36;1(OH)) _dup,0.6098,0.402
156,PC 38;4_dup,0.7215,0.2952
157,HexCer 42;2,0.7572,0.6189
158,PE(40;4) ,0.4642,0.2683
159,Hex2Cer 32;1,0.4133,0.6033
160,PC 40;6,0.3645,0.4549
161,SM 42;2_dup,0.6148,0.6602
162,HexCer 40;2;O3,0.6904,0.4825
163,PI-Cer(d38;0) ,0.7559,1.1005
164,HexCer(t40;0) ,0.7029,0.4727
165,HexCer(t40;0) _dup,0.7075,0.5022
166,SM(t40;1) ,0.5137,0.4711
167,PC 38;6_dup,0.7677,0.3547
168,PG(40;6) ,0.7531,0.3211
169,PC(38;5) ,0.6171,0.3763
170,PC(38;5) _dup,0.7503,0.3346
171,PS(40;1) ,0.7048,0.4183
172,PG(40;5) ,0.7208,0.302
173,PC 38;4,0.7568,0.3343
174,HexCer 42;2_dup,0.7754,1.2699
175,HexCer(t42;2) ,0.7001,0.4452
176,PG(40;4) ,0.743,0.3141
177,PS 38;4,0.5469,0.6464
178,PC 38;3,0.6517,0.282
179,HexCer 42;1,0.7059,0.4263
180,HexCer 42;1_dup,0.7666,0.8044
181,PA(48;11) ,0.3599,0.6581
182,SM 42;2_dup,0.6283,0.5222
183,PC 38;2,0.6849,0.3584
184,PE(40;2(OH)) ,0.4132,0.5954
185,PC 38;1,0.7532,0.3697
186,PG(40;1) ,0.717,0.4175
187,PC 40;6_dup,0.5632,0.3311
188,HexCer 42;2;O3,0.7368,0.8497
189,HexCer 42;1;O3,0.7404,1.078
190,PGP(34;1) ,0.3753,0.626
191,HexCer(t42;0) ,0.6904,0.4518
192,SM(t42;1) ,0.3884,0.5709
193,PC(40;7) ,0.6139,0.3165
194,PC 40;6_dup,0.646,0.3796
195,PG(42;6) ,0.6218,0.3452
196,Hex2Cer 32;0,0.4413,0.5758
197,SHexCer 38;1;3,0.4121,0.43
198,PE(44;11(OH)) ,0.0848,0.9386
199,PC(40;4) ,0.5234,0.3038
200,PS(40;4) ,0.1265,0.9457
201,PIP(O-36;5) ,0.1842,0.8718
